spike_strength,rep_seed,theta_rs,tau_true,se_classical,se_hc1,se_swm_v_off_only,se_swm_fix,v_off,v_between,se_swm_sweep,h_sweep,se_conley_lehner,h_lehner,se_bch,t_bch,se_self_normalized,ci_sn_lo,ci_sn_hi,se_fixed_b,t_fixed_b,se_wcb,ci_wcb_lo,ci_wcb_hi,se_block_boot,ci_bb_lo,ci_bb_hi,cov_bin_0,cov_bin_edge_0,cov_bin_1,cov_bin_edge_1,cov_bin_2,cov_bin_edge_2,cov_bin_3,cov_bin_edge_3,cov_bin_4,cov_bin_edge_4,cov_bin_5,cov_bin_edge_5,resid_corr_within_fold,resid_corr_across_fold,cross_fold_mean_sd,cross_fold_mean_max_abs
0.5,365994733,0.308627436883286,0.1,0.05986855936251925,0.042674505205286234,0.05303897805744668,0.039923324618557944,0.0010466700877104003,0.0005472017608883544,0.04037715307181381,0.19388446592450692,0.048636450920371,0.08231146441963005,0.023426123641520386,2.7764451051977987,0.04169602877386082,0.21269246897886945,0.4442259389696143,0.028217974461812997,12.706204736432095,0.021026034557255626,0.26959360741317434,0.34905896231467903,0.04835183469186612,0.24090685161100336,0.427722805433822,-0.0025024060673827534,0.13433311575578563,-0.0009628146041026801,0.19388446592450692,-0.0010889937579281826,0.2861672411958622,0.0006388746214488477,0.44016388314903004,-0.0006869410084059978,0.6614289311079893,-0.0007090979931762939,1.364505794256775,-0.001956515297297536,-0.00024189456643882468,0.03489463944978554,0.052607064885150406
0.5,127110760,0.03638464052733701,0.1,0.05718527710454559,0.06432447035371411,0.08647689238702247,0.09028683795077043,0.003498837732229639,0.004652875374919039,0.10222766115374216,0.32612014812863077,0.07538140497012825,0.08231146441963005,0.06831048961623358,2.7764451051977987,0.07357816738891022,-0.219766384282218,0.1888051011105102,0.10065739309545511,12.706204736432095,0.06362841682799673,-0.06803396636878475,0.1408032474234588,0.07438272959432535,-0.10392376660725196,0.16417570431328887,-0.00022560022262042766,0.13433311575578563,-0.00168124776798773,0.19388446592450692,-0.002787866193564033,0.2861672411958622,-7.925104389230548e-05,0.44016388314903004,-0.00010179915105524609,0.6614289311079893,-0.0004750158709848206,1.364505794256775,-0.0017265424605735046,-0.0002766241489094569,0.03737341001688301,0.04929894874363373
0.5,894302036,-0.4838067910992095,0.1,0.05450163905041298,0.04181556662450469,0.04905992283696183,0.056751111491353326,0.00033914890426446,0.0028815397512395556,0.057054849817026784,0.13433311575578563,0.045604115359448784,0.08231146441963005,0.05375749157847317,2.7764451051977987,0.20039367883747888,-1.1905966346817083,-0.07783253723991246,0.04599268343925826,12.706204736432095,0.04769943763422253,-0.5706994812224234,-0.40506175760748436,0.05150169333375626,-0.5862574953180032,-0.3912010460210342,-0.0044208233684205,0.13433311575578563,-0.0032889834143409514,0.19388446592450692,-0.003447792222793408,0.2861672411958622,0.002593558197961312,0.44016388314903004,-0.0010828408160553002,0.6614289311079893,-0.00035838612677225055,1.364505794256775,-0.0014472334333033832,-0.0004529737683851165,0.04754924666009586,0.06275714846900758
0.5,2081528600,0.17198869357313798,0.1,0.0702364912771297,0.041029565198331674,0.04575277485640966,0.04711450808137559,0.0006470226032706042,0.0015727542684794017,0.05186083974099422,0.32612014812863077,0.04551714388052187,0.08231146441963005,0.039715233866203806,2.7764451051977987,0.128517757482374,-0.18005744887736266,0.5335875485085075,0.05400872618782767,12.706204736432095,0.03344478052833919,0.11147571590066112,0.23250167124561483,0.07960256413073875,0.10451311427912864,0.3828019611839554,-0.006771836170862885,0.13433311575578563,-0.00634624129344483,0.19388446592450692,0.0014543806930580698,0.2861672411958622,-0.0003433140428656701,0.44016388314903004,0.00020317627440283222,0.6614289311079893,-0.0008845490690683437,1.364505794256775,-0.001274344551399208,-0.0006613150694729014,0.057843260195015476,0.10304132298871306
0.5,2048464303,-0.05899221531260006,0.1,0.06781149503106612,0.08052692424520501,0.11147334226843582,0.11111002088443046,0.0057575350421679465,0.0065879016987706275,0.13385071669842785,0.32612014812863077,0.09538398295629068,0.08231146441963005,0.08128309711797878,2.7764451051977987,0.0822133946370736,-0.2484493919515587,0.20807256229203716,0.1315053740213898,12.706204736432095,0.07086359599968044,-0.18186547830527727,0.06915127640331206,0.0791397226667597,-0.18936185203591652,0.12939128061205107,-0.008700910438960208,0.13433311575578563,-0.0003819952998952987,0.19388446592450692,-0.000927890801491766,0.2861672411958622,-0.000398954083301744,0.44016388314903004,0.0004207506034864327,0.6614289311079893,-0.00024377668043019146,1.364505794256775,-0.00014325640079924378,-0.0006741154726352432,0.057747007943869666,0.09710813264464693
0.5,1809507340,0.21165535794244686,0.1,0.06290063626497111,0.05313798158161742,0.08133308103293684,0.08449171408480438,0.0034659840977731885,0.003672865651215143,0.08820169672543343,0.2431366342882323,0.06626039818575775,0.08231146441963005,0.060691686991385184,2.7764451051977987,0.19602789895084152,-0.5547835067403155,0.5337378943082298,0.08040978684887906,12.706204736432095,0.0544925385412765,0.10929852913055646,0.3245698733423734,0.07384401865814662,0.018613240693766537,0.3139612250964843,-0.0003232677703191839,0.13433311575578563,-0.00757572986741722,0.19388446592450692,-0.0016215670633957214,0.2861672411958622,-0.0007607368456123476,0.44016388314903004,0.0008780081299330892,0.6614289311079893,-0.0005744855024397427,1.364505794256775,-0.0002589439070272986,-0.0007067451688772527,0.05941195924782409,0.06822648642401168
0.5,1558729212,0.03965481429165221,0.1,0.06664955608783363,0.11816439171298415,0.1350950648191315,0.14231133782466684,0.004929262374991517,0.015323254498454932,0.15982140800945777,0.32612014812863077,0.12355444599591729,0.08231146441963005,0.12396588789327181,2.7764451051977987,0.15528453667080205,-0.584814800456743,0.2774631830483699,0.1599248004549188,12.706204736432095,0.109686010966248,-0.1448433835116295,0.22457556116737093,0.1332403470538841,-0.26821457479290867,0.23090631857978292,-0.007053523723899325,0.13433311575578563,0.0034381420655267827,0.19388446592450692,-0.002315363955311467,0.2861672411958622,0.00041307752625355324,0.44016388314903004,-0.0002229973586381349,0.6614289311079893,-0.0008401863044355686,1.364505794256775,-0.0021390650829990173,-0.00027568273227034323,0.03710730707471087,0.056625998161409404
0.5,1506253675,0.2860354198274949,0.1,0.0682584626395123,0.0826582720300563,0.10404533956103157,0.10726586006955773,0.004232666000734532,0.007273298735727407,0.10759054764090906,0.13433311575578563,0.09759132615634912,0.08231146441963005,0.08540679030580262,2.7764451051977987,0.13984152848331144,-0.009181839326058316,0.7673428151956789,0.09287582728782122,12.706204736432095,0.07270049165313203,0.1432624935571095,0.4296595586401063,0.08542584219052568,0.13314185980925614,0.43211667534111076,-0.010779940506279203,0.13433311575578563,-0.0013820931798991824,0.19388446592450692,0.0007475764169696547,0.2861672411958622,0.0005359269569925314,0.44016388314903004,-0.0012399795086903906,0.6614289311079893,0.0004351168114295167,1.364505794256775,0.0017850072542637215,-0.0012686741585212417,0.07962373909816058,0.11765127842860361
0.5,113298368,-0.19579476275605154,0.1,0.06705915544870912,0.04882997414947491,0.06153427812101079,0.056123545968131905,0.0019310028005038288,0.0012188496115331862,0.06055864931783899,0.2431366342882323,0.05315012533071587,0.08231146441963005,0.03496244125160199,2.7764451051977987,0.04481865850432012,-0.44018024653967186,-0.1913071564879693,0.0488384022048415,12.706204736432095,0.031053062693333057,-0.2512914205322965,-0.15268878786712162,0.08187795986705623,-0.44124180059574186,-0.11568823344253107,-0.010461862953905077,0.13433311575578563,-0.0009507230609637714,0.19388446592450692,0.0034456852788466866,0.2861672411958622,-0.00021479765378007538,0.44016388314903004,-0.0007065333285337607,0.6614289311079893,-0.0006266200844467294,1.364505794256775,0.003308864633787733,-0.0016504388573765278,0.09116340733783275,0.13464990274355895
0.5,219539716,-0.033140619705112374,0.1,0.07183948900632159,0.0316306807166928,0.03259477023888771,0.039343408480754134,0.00025607238571648846,0.001291831405166988,0.03973277596156774,0.19388446592450692,0.03205731647075671,0.08231146441963005,0.0359939581311215,2.7764451051977987,0.07711338130954529,-0.2229053314985797,0.2052968086656972,0.03311203929472176,12.706204736432095,0.03321319775247913,-0.09264483920473826,0.027737444750951756,0.06281532944641496,-0.09497231898155598,0.16059869712868954,-0.006378156689585394,0.13433311575578563,-0.0057974852614846376,0.19388446592450692,0.002087068907089503,0.2861672411958622,-0.000523650908689494,0.44016388314903004,3.0927345014179346e-05,0.6614289311079893,-0.001228123642705507,1.364505794256775,-0.0004682280863827429,-0.0009670586826738528,0.0694029701679995,0.10129956402829911
