spike_strength,n_reps_ok,cov_classical,mean_se_classical,cov_hc1,mean_se_hc1,cov_swm_v_off_only,mean_se_swm_v_off_only,cov_swm_fix,mean_se_swm_fix,cov_swm_sweep,mean_se_swm_sweep,cov_conley_lehner,mean_se_conley_lehner,cov_fixed_b,mean_se_fixed_b,cov_bch_cluster,mean_se_bch_cluster,cov_self_normalized,mean_se_self_normalized,cov_wcb,mean_se_wcb,cov_block_boot,mean_se_block_boot,mean_v_off,mean_v_between,mean_ratio_v_off_to_total,mean_cov_bin_0,mean_cov_bin_1,mean_cov_bin_2,mean_cov_bin_3,mean_cov_bin_4,mean_cov_bin_5,mean_resid_corr_within_fold,mean_resid_corr_across_fold,mean_cross_fold_mean_sd,mean_cross_fold_mean_max_abs,bias_theta,sd_theta
0.5,500,0.436,0.06437522109919579,0.426,0.0670255046212213,0.5,0.07972837966601304,0.494,0.07773796525929515,0.516,0.08325849745877499,0.462,0.07398292233892294,0.456,0.07554723061850219,0.538,0.06313277238596492,0.706,0.10263262945424546,0.31,0.0562294591386811,0.522,0.08952176622032632,0.0024391159350753994,0.0052175531891293335,0.2933748543764744,-0.006871872828649432,-0.0009694121947762531,-0.0001547420825634613,-0.00022650433530351538,-0.00026122985836430984,-0.00044898775874142074,-0.0005316548669555889,-0.0006987201558262394,0.0557585328331133,0.08079194869857338,-0.10435079427312106,0.19362737576639247
0.75,500,0.436,0.06403511518346736,0.434,0.06707986328373064,0.506,0.07961062387782374,0.49,0.07797895090592204,0.514,0.08344599619691004,0.484,0.07418871668148802,0.476,0.07572557301786609,0.54,0.0636501780008665,0.722,0.10040171460261159,0.338,0.056686895758461774,0.54,0.08894479888500831,0.002472181913541434,0.00526496791872313,0.33133051358124616,-0.006738367557106189,-0.0011795831480472534,-7.571383094760925e-05,-0.00036888787499423216,-0.0002930204401210116,-0.00033241744139716605,-0.0005634967610363106,-0.000690398308486522,0.05523618721408441,0.07985337827581881,-0.09134868361323192,0.19517111060712777
1.0,500,0.442,0.06504683197830724,0.448,0.06946659946885395,0.518,0.08349207494724567,0.496,0.0809167356288685,0.516,0.08720086756662843,0.48,0.07724437470836451,0.472,0.07975228072142107,0.546,0.06477847057874285,0.73,0.10722186182565227,0.344,0.05770504949661277,0.546,0.09171048182107103,0.0027501501572013663,0.005424053436344035,0.3211540121635562,-0.006746327870350942,-0.0009232305957827818,-0.00019423194949272796,-0.000280895075941294,-0.00027828383979057827,-0.0004318602013660557,-0.0007327684850523997,-0.0006571929011595736,0.05371990377671409,0.07791494730790359,-0.0967762869484072,0.20063817811013418
1.25,500,0.444,0.06417176495078308,0.478,0.06917370023327615,0.542,0.08281077355784607,0.518,0.08213921108504178,0.538,0.08767111519706258,0.51,0.07686865671499049,0.504,0.07964662977195686,0.576,0.06675387581737985,0.746,0.10350615439960785,0.358,0.05947401314119296,0.578,0.09191440035568268,0.0028227504860673324,0.005886895317049198,0.43759921157818876,-0.006747644156750164,-0.0011835821797342371,-0.00011341942324959858,-0.000288220393453546,-0.00023959622282732301,-0.0004508900565111877,-0.0006701835697524015,-0.0006733846572691513,0.05503756624820865,0.07952066611445945,-0.0996260935235658,0.190498707536379
1.5,500,0.414,0.06453547889546073,0.426,0.07052520337583476,0.5,0.08425614209764062,0.482,0.08155670958569448,0.51,0.08768851955989837,0.47,0.07798799642220948,0.454,0.0797286536774544,0.522,0.0653512756081756,0.682,0.10206655237552548,0.318,0.05829061259253979,0.51,0.09031215171755363,0.0028819567887767004,0.00559877254103319,0.22908401399889472,-0.006685388853287224,-0.0009265241813189523,-0.00027942260127397596,-0.00020124437002216072,-0.0003601695925202169,-0.0003848016930513162,-0.0006870055037938332,-0.0006692481660667655,0.05425030221919069,0.07804685039662351,-0.09899206774985955,0.19574747306948254
1.75,500,0.4,0.06436039471675144,0.426,0.06864282405385069,0.49,0.08171114805511427,0.492,0.07876144567409453,0.51,0.08420035725901474,0.466,0.07622144713648066,0.46,0.07663812058171116,0.542,0.06379357888440162,0.716,0.10149172996614265,0.312,0.05680082918438728,0.484,0.08879244649120493,0.0025503898243314387,0.005166478467111663,0.2793163436521701,-0.006889806555922807,-0.0007854830037730421,-0.00012338686581011093,-0.00029557661046810345,-0.0002453141449840315,-0.0004759500563978439,-0.0006016041815754886,-0.0006878407918429294,0.05520741180898406,0.07950920968144486,-0.11723991781301003,0.18258282899733957
2.0,500,0.424,0.06483432568464723,0.44,0.06745713134542956,0.52,0.08119306068368355,0.476,0.07800867944470308,0.508,0.08373367451413935,0.492,0.07530582756355193,0.458,0.07492182166226909,0.528,0.06225017924487859,0.726,0.09964727922455857,0.342,0.055364377776224466,0.516,0.08720351577285165,0.0026841667523366686,0.004997463949148128,0.3270388102449517,-0.006811568467998301,-0.0008475188310383694,-0.0001859671619183932,-0.00031666180638762793,-0.00032708802196444937,-0.0003530518297567672,-0.0006368693915494605,-0.0006759163221911532,0.05424703151030029,0.07763971639663605,-0.10366628737218869,0.18037748388950187
2.25,500,0.436,0.06390658171049247,0.428,0.06854610068139505,0.494,0.08119059816266289,0.48,0.08008313277594524,0.506,0.08517023921298628,0.466,0.07571669761311826,0.472,0.07703619182418076,0.556,0.0659558334532044,0.74,0.10683894498565481,0.342,0.05874415559515208,0.534,0.09014534613730256,0.002512131411105564,0.00577753208723953,7.063590264521805,-0.006795716890732461,-0.0008875189444739684,-0.0001706920640508566,-0.0003781976513024731,-0.00026482463493159426,-0.0003899359191878648,-0.0005401207051660987,-0.000704828912799826,0.05591410265051677,0.08081923118843061,-0.10293467712215992,0.1939173058057751
2.5,500,0.392,0.0648926775600526,0.434,0.06950121584534202,0.482,0.0828728308003069,0.472,0.08118687355339256,0.504,0.08642804496803168,0.464,0.07708174625922377,0.474,0.07771595673669912,0.516,0.06584088260809927,0.73,0.10266830170859888,0.308,0.05855945605145048,0.496,0.089599833947154,0.0027661667426951866,0.005727236566181052,0.3051207930846822,-0.0070051631665972,-0.0008734038306045613,-0.00023072402424930696,-0.00016188371504262129,-0.0003013966851166755,-0.0004294269949907999,-0.00039523044993504863,-0.0007358410005465801,0.05673532265976823,0.08141429533878997,-0.10679630395139271,0.20137930200362936
2.75,500,0.442,0.06470881601708144,0.448,0.07096893803375676,0.538,0.08549869468007226,0.514,0.08405696320994875,0.532,0.08963160981439475,0.502,0.07941363018819186,0.49,0.08087146885175416,0.544,0.06804927627184151,0.762,0.10944914170070595,0.35,0.06099553555266041,0.58,0.09186422356477715,0.0030083604529994893,0.006338065468392101,0.310980845689425,-0.006641650476243056,-0.0010649942636880788,-6.364931011882557e-05,-0.00032226644503888723,-0.00034229847052820396,-0.0003815810106589005,-0.00042884903685361014,-0.0007336802798239512,0.05669493341245028,0.08202174902434442,-0.09407910603281795,0.1933933344335207
