city,n,pred_r2,zip_acc,zip_random,zip_probe_acc,geo_r2,geo_probe_r2,inc_acc,income_random,income_probe_acc,live_random,probe_random
boston,2610,0.568324299905955,0.07780612260103226,0.023255813953488372,0.5038265306122449,-0.07816891579302276,0.3002527575798839,0.2551020383834839,0.2,0.4221938775510204,False,False
nyc,15227,0.622365475941163,0.02910921536386013,0.006329113924050633,0.2978769971547385,-0.01828413595324263,0.277998627863248,0.2506018877029419,0.2,0.4412344057780696,False,False
sf,986,0.41186701740330367,0.09459459781646729,0.03333333333333333,0.32094594594594594,0.07205928562578856,0.27723641067571514,0.21959459781646729,0.2,0.32094594594594594,False,False
dc,4015,0.6094652251427374,0.09709543734788895,0.03225806451612903,0.4464730290456432,-0.1615047824127096,0.42187105034676375,0.2074688822031021,0.2,0.45477178423236514,False,False
philadelphia,7030,0.6597187680829857,0.08013276755809784,0.017857142857142856,0.3063063063063063,0.0033970353986083612,0.16376631630211247,0.29587483406066895,0.2,0.38738738738738737,False,False
chicago,5576,0.5801613437318275,0.05379557982087135,0.013513513513513514,0.3161984459055589,0.04927148238654944,0.2466381858508937,0.2355050891637802,0.2,0.42797369994022716,False,False
seattle,2884,0.38129847788426086,0.08314087986946106,0.02857142857142857,0.38799076212471134,-0.025575944288318997,0.20075531344634046,0.22401846945285797,0.2,0.3579676674364896,False,False
denver,5280,0.6166399444816694,0.0700315460562706,0.024390243902439025,0.38359621451104103,-0.0708298656209192,0.2532050442236935,0.3753943145275116,0.25,0.4946372239747634,False,False
atlanta,6134,0.6176668630487536,0.05594785511493683,0.019230769230769232,0.35469853340575774,-0.2507021323244307,0.33096297154357157,0.22270505130290985,0.2,0.43997827267789247,False,False
portland,4337,0.5046963361929826,0.07603686302900314,0.02040816326530612,0.34639016897081415,0.001305737071927715,0.2454915770489975,0.43317973613739014,0.25,0.5092165898617511,False,False
phoenix,7086,0.43350677205120813,0.042803388088941574,0.015625,0.29727187206020694,0.00412162274185679,0.22713634898777335,0.24365004897117615,0.2,0.4082784571966134,False,False
dallas,8008,0.5649920917404481,0.0507698692381382,0.014285714285714285,0.317103620474407,-0.09314797588447421,0.21066903921575064,0.372867226600647,0.25,0.49563046192259674,False,False
