estimator,N,dgp,beta_direct,truth,n_reps_ok,bias,sd,rmse,coverage,mean_ci_length
DR,500,scm0,0.0,-0.003996985970796485,300,0.0015954835058600643,0.03179375089978935,0.03178079118861583,0.9566666666666667,0.12470666084517035
DR,500,scm1_0.01,0.4163981665617842,-0.003157612328358555,300,0.00018112748406583744,0.03323566328189658,0.03318071864663473,0.94,0.1282129348017188
DR,500,scm1_0.05,0.9504944939757333,-0.002103514305105122,300,-0.0009145884647754196,0.03334324017544259,0.03330018366174314,0.97,0.13868107243464795
DR,500,scm1_0.10,1.3810364818773504,-0.0015882802685783033,300,-0.0005543094792663443,0.0365120023740259,0.03645531267138542,0.96,0.15206561612375524
DR,500,scm1_0.15,1.740454092800067,-0.0002537449584532503,300,0.002101568335668967,0.04043737572825048,0.04042458831871878,0.9666666666666667,0.16496706548699822
DR,500,scm1_0.20,2.0715547228160256,0.00033666376002088603,300,-4.6157200308741774e-05,0.042759272627825175,0.04268797264057271,0.9633333333333334,0.1796109439049491
DR,2000,scm0,0.0,-0.003996985970796485,300,0.0008023053841199551,0.014274357522105863,0.01427311408404131,0.9566666666666667,0.05803684728877045
DR,2000,scm1_0.01,0.4163981665617842,-0.003157612328358555,300,0.001201340916762612,0.015781167683384716,0.015800579818619227,0.9666666666666667,0.059506914568477974
DR,2000,scm1_0.05,0.9504944939757333,-0.002103514305105122,300,0.0007276434913795361,0.01605729935488308,0.01604702063980417,0.9566666666666667,0.06473091745067303
DR,2000,scm1_0.10,1.3810364818773504,-0.0015882802685783033,300,0.002930155646074998,0.017961684411151552,0.018169549030536702,0.9533333333333334,0.07103073226384392
DR,2000,scm1_0.15,1.740454092800067,-0.0002537449584532503,300,0.002174636759477641,0.019569090709395907,0.019657107074141443,0.9433333333333334,0.07728416858449134
DR,2000,scm1_0.20,2.0715547228160256,0.00033666376002088603,300,0.0029434573602757246,0.019727478280375816,0.01991331453751782,0.9566666666666667,0.08394118100618284
DML,500,scm0,0.0,0.010578270638701384,300,-0.0021851366381802333,0.01768508308124759,0.017790290755714065,0.8933333333333333,0.057814522269463375
DML,500,scm1_0.01,0.4163981665617842,0.0766801975937896,300,-0.005177050564328267,0.024747684924999264,0.02524298454347578,0.8966666666666666,0.058252774728477806
DML,500,scm1_0.05,0.9504944939757333,0.1616948837360827,300,-0.008836056271349452,0.03798369664939174,0.038936202916389925,0.8766666666666667,0.05912949614686298
DML,500,scm1_0.10,1.3810364818773504,0.2305506170381782,300,-0.021278625872030693,0.07715351292793514,0.07990996346471761,0.8333333333333334,0.0595839810548601
DML,500,scm1_0.15,1.740454092800067,0.28766335063551196,300,-0.01658155200167366,0.05721864754652089,0.05948115876824929,0.7366666666666667,0.060474429392614985
DML,500,scm1_0.20,2.0715547228160256,0.34059040807873264,300,-0.018921042297785517,0.0695037856767509,0.07192134229575378,0.7866666666666666,0.06136319102576583
