estimator,N,dgp,beta_direct,truth,n_reps_ok,power
DR,500,scm0,0.0,-0.003996985970796485,300,0.04
DR,500,scm1_0.01,0.4163981665617842,-0.003157612328358555,300,0.06333333333333334
DR,500,scm1_0.05,0.9504944939757333,-0.002103514305105122,300,0.03333333333333333
DR,500,scm1_0.10,1.3810364818773504,-0.0015882802685783033,300,0.043333333333333335
DR,500,scm1_0.15,1.740454092800067,-0.0002537449584532503,300,0.03333333333333333
DR,500,scm1_0.20,2.0715547228160256,0.00033666376002088603,300,0.03666666666666667
DR,2000,scm0,0.0,-0.003996985970796485,300,0.05
DR,2000,scm1_0.01,0.4163981665617842,-0.003157612328358555,300,0.043333333333333335
DR,2000,scm1_0.05,0.9504944939757333,-0.002103514305105122,300,0.043333333333333335
DR,2000,scm1_0.10,1.3810364818773504,-0.0015882802685783033,300,0.05333333333333334
DR,2000,scm1_0.15,1.740454092800067,-0.0002537449584532503,300,0.056666666666666664
DR,2000,scm1_0.20,2.0715547228160256,0.00033666376002088603,300,0.043333333333333335
DML,500,scm0,0.0,0.010578270638701384,300,0.13666666666666666
DML,500,scm1_0.01,0.4163981665617842,0.0766801975937896,300,0.9966666666666667
DML,500,scm1_0.05,0.9504944939757333,0.1616948837360827,300,1.0
DML,500,scm1_0.10,1.3810364818773504,0.2305506170381782,300,1.0
DML,500,scm1_0.15,1.740454092800067,0.28766335063551196,300,1.0
DML,500,scm1_0.20,2.0715547228160256,0.34059040807873264,300,0.9966666666666667
DML,2000,scm0,0.0,0.010578270638701384,300,0.25
DML,2000,scm1_0.01,0.4163981665617842,0.0766801975937896,300,1.0
DML,2000,scm1_0.05,0.9504944939757333,0.1616948837360827,300,1.0
DML,2000,scm1_0.10,1.3810364818773504,0.2305506170381782,300,1.0
DML,2000,scm1_0.15,1.740454092800067,0.28766335063551196,300,1.0
DML,2000,scm1_0.20,2.0715547228160256,0.34059040807873264,300,1.0
DML_cfpca,500,scm0,0.0,0.010725519787970952,300,0.13666666666666666
DML_cfpca,500,scm1_0.01,0.4163981665617842,0.07697360561324113,300,0.9933333333333333
DML_cfpca,500,scm1_0.05,0.9504944939757333,0.1621782257758086,300,1.0
DML_cfpca,500,scm1_0.10,1.3810364818773504,0.23119687380676543,300,1.0
DML_cfpca,500,scm1_0.15,1.740454092800067,0.2884336616224033,300,1.0
DML_cfpca,500,scm1_0.20,2.0715547228160256,0.34148805688967754,300,0.9966666666666667
DML_cfpca,2000,scm0,0.0,0.010725519787970952,300,0.29333333333333333
DML_cfpca,2000,scm1_0.01,0.4163981665617842,0.07697360561324113,300,1.0
DML_cfpca,2000,scm1_0.05,0.9504944939757333,0.1621782257758086,300,1.0
DML_cfpca,2000,scm1_0.10,1.3810364818773504,0.23119687380676543,300,1.0
DML_cfpca,2000,scm1_0.15,1.740454092800067,0.2884336616224033,300,1.0
DML_cfpca,2000,scm1_0.20,2.0715547228160256,0.34148805688967754,300,1.0
