market,n,theta,se_iid,se_zip,se_conley,infl_zip,infl_conley,t_iid,t_zip,t_conley,sig_iid,sig_zip,sig_conley
atlanta,6134,0.05830782240709048,0.007606040461190906,0.011546562910141934,0.00946055560181291,1.5180780287795164,1.2438213614671771,7.6659889865956625,5.049799049366955,6.163255612166907,True,True,True
boston,2610,0.08250070851538331,0.01150428229694966,0.015301286016386131,0.013218270179356102,1.330051334053515,1.148986945744621,7.171304248789012,5.391749976246009,6.241414904972244,True,True,True
chicago,5487,0.20563563342521354,0.011929750949936025,0.018529019929515746,0.01731471488974212,1.5531774307170352,1.4513894684310213,17.237210926546314,11.098030775909894,11.876351111449127,True,True,True
dallas,8002,0.035177859404472815,0.005570711176432745,0.009570993739198551,0.007283719906181921,1.718091898156426,1.307502700372651,6.314787877227423,3.675465721014933,4.829655705818158,True,True,True
dc,4012,0.06386596812854606,0.007957136984373612,0.011258585408409811,0.011739398658686744,1.4149040578941459,1.4753294660806788,8.026249674219175,5.6726458797248345,5.440310018033801,True,True,True
denver,5280,0.02865925896632377,0.0051770843598635255,0.004866613548530344,0.005106745685535707,0.9400297948126606,0.9864134579546098,5.535791378736441,5.888953104767998,5.612039590594447,True,True,True
nyc,15253,0.04550636808047374,0.004819076352167686,0.008220737898228856,0.008620405143860912,1.7058741753554199,1.7888085836165133,9.442964741574256,5.535557591524479,5.278912918945747,True,True,True
philadelphia,7007,0.11905005791808934,0.00922044706187903,0.013709053195723435,0.012326566005622965,1.4868100324985407,1.3368729219850801,12.911527729527272,8.684046682029598,9.65800676877751,True,True,True
phoenix,7081,0.004001516805034751,0.006103473955366035,0.008289941314063928,0.006882656204274403,1.3582332577622618,1.1276620912297541,0.6556129893069681,0.48269543214330807,0.581391353319326,False,False,False
portland,4337,0.023585401279064815,0.008451008448310099,0.00904667584846164,0.008893429350349423,1.070484771586124,1.0523512554442886,2.7908386819541113,2.6070792934484817,2.6520029956878384,True,True,True
seattle,2884,0.01881833110198103,0.010113974758392952,0.008405236597411353,0.01130879744469534,0.831051767302106,1.118135818493207,1.8606266627633095,2.2388817832655303,1.664043519570528,False,True,False
sf,986,0.12575673936560577,0.018319952929092633,0.0257005258314319,0.02198638342751374,1.402870735034406,1.200133183344522,6.8644684761116554,4.893158225261076,5.719755583277689,True,True,True
