city,n_referee2,n_author,theta_referee2,theta_author,se_referee2,se_author,match_theta_2dp
boston,2599,2610,-0.09089472906070988,-0.07326551106221224,0.022496837839059255,0.022013644619301633,True
sf,981,986,-0.08291535009278371,-0.10564588067208756,0.025230397396075008,0.025299281825427143,False
philadelphia,7005,7030,-0.36806405467381187,-0.37399363054800766,0.009195278846908513,0.009237331039835857,True
chicago,5403,5577,-0.3499621730812663,-0.3579037730118738,0.01859344652050395,0.018488730744395918,True
