quantity,author,referee2,match
theta,-0.061211579890627366,-0.061211579890627366,True
se_if,0.0007745011428952797,0.0007745011428952797,True
se_metro,0.016242645880959236,0.016242645880959236,True
se_quarter,0.002421905959521344,0.002421905959521344,True
se_twoway,0.015730987869526012,0.015730987869526012,True
dof,9,9,True
neg_var_fallback,False,False,True
G_metro,10,10,True
G_quarter,13,13,True
