arm,N,theta_true,ci,truth,n_ok,bias,sd,avg_se,sd_over_se,excess_var,coverage
insample,2000,0.1,if,0.22894661695746135,800,-0.002062095751272114,0.009073974147591757,0.007463595330736745,1.2157644868851762,0.4780832875711758,0.87875
pooled:1,2000,0.1,if,0.22970163654398676,800,-0.0012592509316204925,0.008857834507414727,0.007451231662566826,1.1887745420551519,0.4131849118384361,0.9025
pooled:2,2000,0.1,if,0.22783971806801886,800,-0.0015225344172371535,0.008682170138256489,0.007428146490472893,1.1688205327388155,0.3661414377518484,0.89875
pooled:4,2000,0.1,if,0.22901012373125382,800,-0.0012094267515145307,0.008586047903173822,0.007453025262709634,1.152021843550315,0.3271543280170661,0.90625
pooled:8,2000,0.1,if,0.2292868984260628,800,-0.0015729000865454812,0.008651824187055297,0.007456348936693025,1.1603298424620776,0.3463653433080698,0.90125
pooled:16,2000,0.1,if,0.2290348424908561,800,-0.0015800847730053635,0.008803007156009917,0.007448206213622181,1.1818962718714623,0.3968787974636614,0.88625
oracle,2000,0.1,if,0.22991288355965778,800,-0.0015963744763961008,0.008413775201038377,0.007457282422905767,1.1282629145430578,0.2729772043331955,0.91
insample,2000,0.15,if,0.2858767868346865,800,-0.002828684779294377,0.009982001689133492,0.00749819613153744,1.331253746104234,0.7722365365165562,0.8375
pooled:1,2000,0.15,if,0.28669515710900684,800,-0.001128695104248234,0.009267405306188447,0.007488999331729238,1.23746910577552,0.5313297877488652,0.875
pooled:2,2000,0.15,if,0.28452860571404387,800,-0.0015849113703876871,0.009348407529473062,0.007465938464577363,1.2521409831901507,0.5678570417843971,0.87625
pooled:4,2000,0.15,if,0.2859387432117062,800,-0.00115357741595018,0.00895925197524859,0.007474314316999897,1.198672091548423,0.436814783057071,0.88125
pooled:8,2000,0.15,if,0.28628721601369583,800,-0.0011868887039852005,0.009351867938220166,0.007480579165002708,1.2501529269247138,0.5628823406984289,0.87625
pooled:16,2000,0.15,if,0.2859787056961879,800,-0.001189023791577981,0.00923435957331015,0.007473714909854965,1.2355782478581796,0.5266536065802891,0.8825
oracle,2000,0.15,if,0.28700935499888,800,-0.0012177802387752235,0.008789342470894586,0.0074810708973358855,1.1748775798962945,0.3803373277429738,0.9075
insample,2000,0.2,if,0.33852071896248137,800,-0.0030968449590820235,0.00999202417175928,0.007557817998910548,1.3220779030666816,0.747889981777194,0.8475
pooled:1,2000,0.2,if,0.33940755669883577,800,-0.0010283528206011527,0.009903110541198077,0.007522668703101376,1.3164358197929564,0.7330032676339533,0.8675
pooled:2,2000,0.2,if,0.3369408584916077,800,-0.002149854292997244,0.009340132735831114,0.0075389356777127966,1.2389192765555965,0.5349209738210428,0.87125
pooled:4,2000,0.2,if,0.33858109373542705,800,-0.0014326442649089666,0.00946217363822527,0.007511238240383489,1.2597355236787398,0.5869335896181487,0.87
pooled:8,2000,0.2,if,0.3390086097235876,800,-0.0014163352644890326,0.009471199584807894,0.007508899082892945,1.261329987292749,0.5909533368439264,0.8725
pooled:16,2000,0.2,if,0.33865140408371486,800,-0.0011544583895898297,0.009744563454028033,0.007516117737224732,1.2964889314820842,0.6808835494555565,0.87125
oracle,2000,0.2,if,0.3398328041087644,800,-0.0016693124954421656,0.009546346402435733,0.007514146420334268,1.2704498779265287,0.6140428923235317,0.8575
boot:12,2000,0.1,boot,0.22867973002767827,250,-0.001571457970264839,0.008624830994863024,0.008108428435827,1.0636871328547841,nan,0.848
boot:12,2000,0.15,boot,0.28555128975394,250,-0.00169113900652057,0.009721326574965885,0.008685129802548607,1.1193069989711852,nan,0.816
boot:12,2000,0.2,boot,0.3381616474004074,250,-0.0016467897778240093,0.01101876508689761,0.009153835936088208,1.2037319833816422,nan,0.792
