city,shen_theta,baur_theta,cf_theta,T2,p,bh_q
boston,0.0351616754036607,-0.0248751824732695,-0.0094172063518425,54.48464350463058,8.844036614163997e-12,2.1225687873993593e-11
nyc,0.046252199172663,-0.0565026122617562,-0.0809422078217467,419.0429075273843,0.0,0.0
sf,0.1309900508543695,-0.0070800458400912,0.0032689327448408,17.956760718684038,0.0004489742902130667,0.0005986323869507556
dc,-0.0332544640072127,-0.0256284449589306,-0.0158054295315619,41.38024124225838,5.430879190804205e-09,1.086175838160841e-08
philadelphia,-0.0007101042709572,-0.0010149604640848,0.0121782004767981,35.89417614773002,7.884255792678374e-08,1.3515867073162928e-07
chicago,-0.0039953804743563,-0.0415415728807794,0.0044836890272279,361.69498409523294,0.0,0.0
seattle,0.0193013280190195,-0.2585690660453013,-0.0479416352352589,85.41742297078956,0.0,0.0
denver,-0.0036528808344188,-0.0286881136161537,0.0053548755345946,24.077427403479927,2.40672424509647e-05,3.610086367644705e-05
atlanta,-0.0059639206185266,0.0064163360766019,-0.0052216094103875,3.0721209053691725,0.3806386659251184,0.3806386659251184
portland,0.0012145065336549,-0.1094393706819912,-0.0017279305293383,10.13202757452774,0.017476556376402774,0.019065334228803025
phoenix,0.02944809633875,-0.0012812647553539,0.0055729559207321,104.65128794153861,0.0,0.0
dallas,0.0481864496309261,-0.0358577459958876,0.0010745809717563,12.317044796945911,0.006372376682141301,0.007646852018569561
