city,qwen_dml_theta,llama_dml_theta,qwen_nde,llama_nde,qwen_te,llama_te
boston,-0.12691792067498425,0.04948747342915586,0.18375506894745672,0.07193919685561767,-0.012059021723830735,-0.027094701866568538
nyc,-0.14175730913177154,0.18261021131523336,0.10957716942015298,0.16953771217059158,-0.06690992029902003,-0.14221277856002207
sf,0.10854387390294468,0.050525437299639035,0.03321795102416552,0.07727366855245497,0.015258901008069372,-0.003579023747707506
dc,0.013770500664087621,0.08860762442795368,-0.004706666278380967,0.04347221419959709,0.002633030752386289,-0.014042959893082685
philadelphia,0.40824425508735795,0.07113654375013306,-0.0038146024465880004,0.024580405882241384,0.044701347481405945,0.027383265238697323
chicago,0.46107337275775734,-0.023925123844903546,-0.0375355406102414,-0.003181913392139535,0.025435761583130212,0.0050247390481366234
seattle,0.06375681088945731,-0.22270944426298367,0.056261743554164745,0.2969694454212864,-0.004854117787026901,-0.08489047627907809
denver,0.1518197427306797,-0.04092236842189963,0.16245272311537096,0.04503301859481504,0.03922615971154989,-0.00032642479133427216
atlanta,0.25060003965543104,-0.10177024537200965,0.17638583276497308,0.10544895725720531,0.0006255385917256836,-0.013885597735095921
portland,0.09318164839654108,0.024129687972442772,0.08782044442399188,0.028602144531059907,-0.00791241164202337,-0.012653667256526353
phoenix,0.0006729511512723799,-0.021590792220702364,0.0006280189333827348,-0.026554639511703455,-0.00017751984333066662,0.01346501622256538
dallas,0.20080980821408304,-0.017901565309746358,0.1337015518899913,0.011750425323709558,-0.0068817597023636285,0.0014123586981798478
