city,n,ols_beta,ols_se,ols_p,ols_pct_per_sd,cell_fe_beta,cell_fe_se,cell_fe_p,dml_theta,dml_se,dml_ci_low,dml_ci_high,dml_excludes_zero,power_vs_pub
boston,2599,-0.0263514602098688,0.013668883205134458,0.053874662803317645,-2.6007290236356617,-0.09214069983977691,0.029503281973207104,0.0017897754596057729,-0.03070161433816168,0.01347222946779168,-0.057107184095033375,-0.004296044581289991,True,0.18262243009279824
nyc,15087,-0.04009745544388453,0.005731165344571419,2.6264587388102183e-12,-3.9304190446517784,-0.09649960105179803,0.010185181488833711,2.6801633527563014e-21,-0.04017946405938491,0.005728271974899977,-0.05140687713018886,-0.028952050988580957,True,0.7152818901537309
sf,981,0.10627811368392348,0.02284215251652602,3.275867559127186e-06,11.213113238662542,0.09146647303958608,0.07799518249822346,0.24090830065258284,0.11382441449839287,0.022405961049292458,0.06990873084177965,0.1577400981550061,True,0.09883084069241209
dc,3996,-0.016448129055901706,0.010984770029255072,0.13430023062857205,-1.6313597190245166,-0.03343678029736963,0.011596251715057489,0.003933915817408635,-0.017316735385498303,0.010862968369288305,-0.03860815338930338,0.003974682618306774,False,0.25566243250920334
philadelphia,7005,0.03386803985231354,0.009924034453298576,0.0006431587262772609,3.444809179808317,-0.14424370695919042,0.014042009625841805,9.393991241929455e-25,0.03410209953627931,0.00986535982909343,0.014765994271256189,0.05343820480130243,True,0.4065159187023846
chicago,5403,0.05272324714262788,0.019828183441227294,0.007837170333408253,5.413786907896001,-0.1599108265350052,0.03616149488546115,9.773268124893708e-06,0.054845688958382655,0.019777246665860237,0.016082285493296593,0.09360909242346871,True,0.327830453685979
seattle,2879,0.040720784326061285,0.013083294206289045,0.0018555656180421953,4.156124471602607,0.04175340761936436,0.03564390156810286,0.24143643933352377,0.043642505690612156,0.01269817471590408,0.01875408324744016,0.06853092813378416,True,0.19728902837640885
denver,5270,0.011951568516437874,0.008528232398877091,0.16109086055306032,1.2023273890599429,-0.014218388098797302,0.011149585349058572,0.20222459683239113,0.01198117805610611,0.008424092450307575,-0.004530043146496738,0.02849239925870896,False,0.3211103298298588
atlanta,6116,-0.024779892198070898,0.007603477417366303,0.0011179741176766717,-2.447539102336127,-0.06560278134704875,0.016802316210914693,9.446367130018298e-05,-0.024797177934609418,0.007547116653608251,-0.03958952657568159,-0.010004829293537245,True,0.3633988512900656
portland,4328,0.007135426749958311,0.009457149799766758,0.4505485867402551,0.7160944564803318,-0.10849321250604485,0.021328214358991144,3.6407886030151494e-07,0.0062810842032631166,0.00933934135644036,-0.012024024855359985,0.02458619326188622,False,0.2728777094222347
phoenix,7083,0.0013815066816037294,0.007471446843357159,0.8533036748445506,0.13824614015593983,-0.06605015211885308,0.018586113394428172,0.0003797993404934784,0.002993565833558395,0.00737820313677273,-0.011467712314516154,0.017454843981632946,False,0.4102269651531773
dallas,8000,0.007205729683009907,0.00824523037621344,0.38215799418735574,0.7231753422267229,-0.08412331838391528,0.01416763177580936,2.8902703468271034e-09,0.007850568028559105,0.008261741527360967,-0.008342445365068389,0.0240435814221866,False,0.45290916891454047
