city,median_price_usd,shen_theta,shen_se,shen_dollar_per_sigma,shen_pct_per_sigma,baur_theta,baur_se,baur_dollar_per_sigma,baur_pct_per_sigma,cf_te,cf_se,cf_dollar_per_swap,cf_pct_per_swap
boston,999000.0,0.0268021202629051,0.0145917723907056,27137.363077854036,2.7164527605459496,0.0722113300578694,0.0220011361117389,74807.59256378119,7.4882475038820004,-0.0120590217238307,0.006129773931034261,-11974.616509746455,-1.1986603112859313
nyc,975000.0,0.0005689393065892,0.0059807737832606,554.8736536730089,0.05691011832543681,-0.0187598566020721,0.007388531999939,-18120.361074230947,-1.8584985717159945,-0.06690992029902,0.010008615551204284,-63102.53894564431,-6.472055276476339
sf,1295000.0,0.1218208786556186,0.0243750219388762,167769.52509417426,12.95517568294782,0.1008570104160699,0.0254388083459648,137423.41481116018,10.611846703564494,0.0152589010080693,0.002299311903760128,19911.806604318106,1.5375912435766879
dc,599000.0,0.0545538761546787,0.0136661500325079,33585.55373089392,5.606937183788634,0.118067851320251,0.0157612452207525,75066.95749044114,12.532046325616216,0.0026330307523862,0.0004706681333566582,1579.2636331355773,0.26365002222630674
philadelphia,255000.0,0.3145517327771572,0.011749983471109,94259.52759958527,36.964520627288344,0.4107953132857833,0.0106209198537976,129544.24676785525,50.80166539915892,0.0447013474814059,0.013289313342616555,11657.454463128815,4.571550769854438
chicago,374900.0,0.2963644467996363,0.0177786812268988,129325.59171760827,34.49602339760157,0.4557507285002203,0.0187282363598778,216451.17888398765,57.73571055854565,0.0254357615831302,0.013683187906117195,9658.17785877875,2.5762010826297015
seattle,750000.0,0.0321038368733518,0.0117638105041264,24468.54319582091,3.262472426109454,0.0494384989172769,0.0154909408757797,38010.72915776781,5.068097221035709,-0.0048541177870269,0.0015887359024980613,-3631.766697497674,-0.48423555966635656
denver,525000.0,0.0787441291742255,0.0087724021434739,43011.91281431197,8.192745297964183,0.1028328622797074,0.0094475320419837,56860.73076123891,10.830615383093125,0.0392261597115498,0.005889456955001455,21002.973828913164,4.000566443602508
atlanta,384000.0,0.1085609306310813,0.0102417346681375,44034.36448814418,11.467282418787548,0.2431639118832088,0.0117766294873165,105706.61381663877,27.52776401474968,0.0006255385917256,0.010535368198948444,240.28196420821942,0.0625734281792238
portland,559000.0,0.0708658740163591,0.0093930147262069,41051.417376183424,7.343724038673242,0.0818402858914104,0.0128876094535103,47672.895735870996,8.528246106595885,-0.0079124116420233,0.0032039658747746937,-4405.585719277757,-0.7881190911051442
phoenix,514990.0,0.0445547508491007,0.0093538413139475,23464.087967600277,4.556222056272992,0.0561675001093971,0.0134135277578031,29753.46809670418,5.777484630129552,-0.0001775198433306,3.0722570697806126e-05,-91.41283008112853,-0.017750408761554308
dallas,439000.0,0.0691242485641653,0.0100005837295065,31418.94106316304,7.156934182952856,0.1949838676411379,0.0104222396751891,94512.91617774592,21.529138081491098,-0.0068817597023636,0.005183948446713954,-3010.7210978184735,-0.6858134619176478
