city,n,basis,k,geo_basis_cols,naive_theta,naive_se,geo_theta,geo_se,confounded_share,confounded_frac,pc1_geo_r2,n_geo_cols_stripped
boston,2599,tprs,30,29,0.12616552427502878,0.01584647699637793,0.11391410911517695,0.015989790958393795,0.012251415159851828,0.09710588712923598,0.13632215112372748,0
nyc,15087,tprs,30,29,-0.1219075138846257,0.00740423549603848,-0.1812994192464281,0.007989835643554391,0.05939190536180239,-0.4871882254773187,0.5155227551567567,2
sf,981,tprs,30,29,0.12175972373400011,0.024720121426493328,0.11150943909452421,0.02453713131226463,0.010250284639475901,0.0841845260906552,0.095111362840407,2
dc,3996,tprs,30,29,0.12938572384599453,0.012735905539429358,0.11603391709251931,0.012349436973491982,0.01335180675347522,0.10319381734392608,0.2300026327828426,2
philadelphia,7005,tprs,30,29,0.3668662026716436,0.009384202586964074,0.3528665825727378,0.009489990857186935,0.013999620098905818,0.03816001582308715,0.2729484367039102,2
chicago,5403,tprs,30,29,0.46332294195346657,0.02010276370400133,0.4605801183655544,0.019924022969255405,0.0027428235879121687,0.005919895907480536,0.30108648790343706,2
seattle,2879,tprs,30,29,0.04553610195926763,0.015259590894731834,0.04380739069327702,0.015357521231572266,0.0017287112659906123,0.037963532046220314,0.06114983158849163,2
denver,5270,tprs,30,29,0.06688122098653876,0.008924334921775752,0.09754382310345354,0.007979520661780279,-0.03066260211691478,-0.4584635517208376,0.22495305075652905,2
atlanta,6116,tprs,30,29,0.12439594478107527,0.010049464318819016,0.12875657311174807,0.010223012423099866,-0.0043606283306728,-0.035054425112869075,0.28945778699845326,2
portland,4328,tprs,30,29,0.07562517708994437,0.012607612278980823,0.07474835337735114,0.012732025189624208,0.0008768237125932332,0.011594335991443536,0.2199808496741983,2
phoenix,7083,tprs,30,29,0.003964498104864921,0.009201957819591995,-0.014775490611833081,0.009626563704401936,0.018739988716698002,4.726951109826931,0.1460486244583613,2
dallas,8000,tprs,30,29,0.14607788873693087,0.009698458750514125,0.1469611221079436,0.00957616307031915,-0.0008832333710127316,-0.006046318020130556,0.10353573309647857,2
