n,theta_true,estimator,n_reps,bias,rmse,avg_se,sd_theta_hat,coverage_95,mean_ci_width
1000,0.0,dml_cal_if,200,0.03416210018610633,0.08556017279248375,0.08224522139181616,0.07864105899562823,0.92,0.3224012678559193
1000,0.0,dml_cal_mult_boot,200,0.03416210018610633,0.08556017279248375,0.08254035178822129,0.07864105899562823,0.93,0.32100284912163696
1000,0.0,dml_cal_pairs_boot,200,0.03416210018610633,0.08556017279248375,0.0898796321774174,0.07864105899562823,0.905,0.26334451369838147
1000,0.0,dml_if,200,0.0322478863302077,0.08069947077091494,0.07749381135532044,0.07416183857919784,0.935,0.3037757405128561
1000,0.0,dml_mult_boot,200,0.0322478863302077,0.08069947077091494,0.0778154407139072,0.07416183857919784,0.935,0.30205148280425964
1000,0.0,dml_pairs_boot,200,0.0322478863302077,0.08069947077091494,0.10022578946880997,0.07416183857919784,0.89,0.2948050718086487
1000,0.5,dml_cal_if,200,0.024550960630599566,0.0849910083643296,0.082642274634088,0.08157200373822898,0.95,0.3239577165656249
1000,0.5,dml_cal_mult_boot,200,0.024550960630599566,0.0849910083643296,0.08245296060869738,0.08157200373822898,0.945,0.32013926971365647
1000,0.5,dml_cal_pairs_boot,200,0.024550960630599566,0.0849910083643296,0.09100558661372253,0.08157200373822898,0.885,0.2649529240687492
1000,0.5,dml_if,200,0.02378424073726514,0.08156632023738868,0.07881448111305782,0.07821741692983691,0.945,0.30895276596318666
1000,0.5,dml_mult_boot,200,0.02378424073726514,0.08156632023738868,0.07868608738550349,0.07821741692983691,0.955,0.3051628376181388
1000,0.5,dml_pairs_boot,200,0.02378424073726514,0.08156632023738868,0.10166307730631205,0.07821741692983691,0.855,0.2997527366136834
2000,0.0,dml_cal_if,200,0.013705431739860633,0.06321084053132932,0.057907537127159986,0.06186199181775077,0.925,0.2269975455384671
2000,0.0,dml_cal_mult_boot,200,0.013705431739860633,0.06321084053132932,0.057903050130213955,0.06186199181775077,0.905,0.22457933591816912
2000,0.0,dml_cal_pairs_boot,200,0.013705431739860633,0.06321084053132932,0.06037698738283852,0.06186199181775077,0.82,0.17616419515657086
2000,0.0,dml_if,200,0.021224546425090834,0.05965931484148803,0.053906989887805866,0.05589610315706889,0.905,0.211315400360199
2000,0.0,dml_mult_boot,200,0.021224546425090834,0.05965931484148803,0.05387032571704745,0.05589610315706889,0.905,0.2096324285177689
2000,0.0,dml_pairs_boot,200,0.021224546425090834,0.05965931484148803,0.057017769758718015,0.05589610315706889,0.775,0.16694130368806903
2000,0.5,dml_cal_if,200,0.01648514351431754,0.061837787916768264,0.057751940610466956,0.059749494291517026,0.935,0.2263876071930305
2000,0.5,dml_cal_mult_boot,200,0.01648514351431754,0.061837787916768264,0.05786745623458163,0.059749494291517026,0.93,0.2246302740732509
2000,0.5,dml_cal_pairs_boot,200,0.01648514351431754,0.061837787916768264,0.05968532700001243,0.059749494291517026,0.86,0.17399869001298426
2000,0.5,dml_if,200,0.020449037128980684,0.05995616022430734,0.05425141083566231,0.05650257279987708,0.92,0.21266553047579623
2000,0.5,dml_mult_boot,200,0.020449037128980684,0.05995616022430734,0.05432127865834447,0.05650257279987708,0.915,0.21034995109539512
2000,0.5,dml_pairs_boot,200,0.020449037128980684,0.05995616022430734,0.05845597466460486,0.05650257279987708,0.79,0.17217451151999127
