market,n,nconf,cos_il,theta_leading,se_leading,t_leading,theta_identified,se_identified,t_identified,sig_lead,sig_id
boston,2610,28,0.9803915738971647,0.03548364396121012,0.0210788293285497,1.683378303801254,0.036565384600027215,0.019240751433193842,1.9004135429422568,False,False
nyc,15255,31,0.9803915738971647,0.006256432593705239,0.007378627070080084,0.8479128344993502,0.028904137038800917,0.006111961992537025,4.729109420852771,False,True
sf,986,30,0.9803915738971647,0.07589929174676432,0.025298224580744558,3.000182542633216,0.07577189941974391,0.023662450460191744,3.202200023502127,True,True
dc,4015,30,0.9803915738971647,0.10182866750784474,0.009520728375938241,10.695470292503728,0.09257123527962346,0.008477011962195757,10.920267152205978,True,True
philadelphia,7030,34,0.9803915738971647,0.13766033198439415,0.00905785892088329,15.197888726993995,0.09631818016528856,0.0075270637260856105,12.796248799049037,True,True
chicago,5577,34,0.9803915738971647,0.41545614501164657,0.017846525721899584,23.279385101932625,0.33537737037415066,0.014687585550702783,22.83407093809937,True,True
seattle,2884,34,0.9803915738971647,0.034434501738059245,0.015968372338748163,2.156419014259955,0.039184598451459364,0.014951674238675022,2.62074987897354,True,True
denver,5280,33,0.9803915738971647,0.037915015031714,0.007753499297391692,4.89005203682275,0.03935244452819317,0.007281389449993006,5.404524067618849,True,True
atlanta,6135,34,0.9803915738971647,0.07398949120590989,0.008170713619517636,9.055450313320112,0.06453742759869772,0.007068978013660908,9.129668740513573,True,True
portland,4337,29,0.9803915738971647,0.05026073469952298,0.012161319574488372,4.132835618016185,0.05033768729797072,0.011479682991667333,4.384937052226001,True,True
phoenix,7087,29,0.9803915738971647,0.05343670774124869,0.013430224319975845,3.978839553838874,0.049019021153428766,0.013167987911136552,3.7225900786233215,True,True
dallas,8008,34,0.9803915738971647,0.09380809032674528,0.009415772858906822,9.962866748427114,0.08738312537508072,0.008950663622581035,9.762753809072619,True,True
