n,theta_true,estimator,n_reps,bias,rmse,avg_se,sd_theta_hat,coverage_95,mean_ci_width
500,0.0,dml_if,200,0.0015799041922941299,0.19356155552966678,0.17496265201965244,0.19404081755184496,0.925,0.6858535959170377
500,0.0,dml_mult_boot,200,0.0015799041922941299,0.19356155552966678,0.17520830103007545,0.19404081755184496,0.915,0.6411431131478935
500,0.0,dml_pairs_boot,200,0.0015799041922941299,0.19356155552966678,0.2686746400653742,0.19404081755184496,0.96,0.9587054306806855
500,0.5,dml_if,200,-0.0023258394067498167,0.23168503938247598,0.1634000717567403,0.23225472921109283,0.925,0.6405282812864219
500,0.5,dml_mult_boot,200,-0.0023258394067498167,0.23168503938247598,0.1629519157619427,0.23225472921109283,0.895,0.5989478450363717
500,0.5,dml_pairs_boot,200,-0.0023258394067498167,0.23168503938247598,0.24701759834378897,0.23225472921109283,0.98,0.9179997165183211
1000,0.0,dml_if,200,0.01058096400474515,0.11301721775639381,0.10607132097849974,0.11280318035239299,0.935,0.415799578235719
1000,0.0,dml_mult_boot,200,0.01058096400474515,0.11301721775639381,0.10625260387803678,0.11280318035239299,0.93,0.4029123333356717
1000,0.0,dml_pairs_boot,200,0.01058096400474515,0.11301721775639381,0.11644136531921545,0.11280318035239299,0.94,0.43884868474697036
1000,0.5,dml_if,200,-0.011986611304579772,0.10021707981837265,0.1046127767926877,0.09974734029655215,0.945,0.4100820850273358
1000,0.5,dml_mult_boot,200,-0.011986611304579772,0.10021707981837265,0.10445488952674398,0.09974734029655215,0.935,0.3990072843183033
1000,0.5,dml_pairs_boot,200,-0.011986611304579772,0.10021707981837265,0.11488002824559276,0.09974734029655215,0.955,0.4330557711430318
2000,0.0,dml_if,200,-0.007276850069892878,0.07381368156302187,0.07544908950523611,0.07363844199632229,0.96,0.29576043086052556
2000,0.0,dml_mult_boot,200,-0.007276850069892878,0.07381368156302187,0.07551710686144295,0.07363844199632229,0.955,0.28630088373330165
2000,0.0,dml_pairs_boot,200,-0.007276850069892878,0.07381368156302187,0.07681820164783931,0.07363844199632229,0.955,0.28884637342004316
2000,0.5,dml_if,200,-0.003555568885373664,0.08827892211238185,0.083895653533373,0.08842863868637223,0.97,0.32887096185082215
2000,0.5,dml_mult_boot,200,-0.003555568885373664,0.08827892211238185,0.08364239547468136,0.08842863868637223,0.965,0.3093280788811938
2000,0.5,dml_pairs_boot,200,-0.003555568885373664,0.08827892211238185,0.08199593961188034,0.08842863868637223,0.96,0.30717476902278784
