n,theta_true,rep,estimator,theta_hat,se,ci_low,ci_high,covers
500,0.0,0,naive_ml,-0.001817279144031867,0.007819568615785328,-0.01714363363097111,0.013509075342907375,True
500,0.0,0,dml_if,-0.05994268320439583,0.0583686173179241,-0.17434517314752707,0.054459806738735406,True
500,0.0,0,dml_mult_boot,-0.05994268320439583,0.05566013106235417,-0.16660586683693662,0.0471184305026799,True
500,0.0,0,dml_fixed_nuis_boot,-0.05994268320439583,0.06111740753080884,-0.17448482723433204,0.050619561090571676,True
500,0.0,0,dml_pairs_boot,-0.05994268320439583,0.06378313101390315,-0.1967913335281052,0.040248628275691326,True
500,0.0,1,naive_ml,-0.0003130433240950455,0.006561276046308564,-0.01317314437485983,0.01254705772666974,True
500,0.0,1,dml_if,-0.0817000507889482,0.06835316049242517,-0.2156722453541015,0.052272143776205135,True
500,0.0,1,dml_mult_boot,-0.0817000507889482,0.06914870814973936,-0.21259091432491403,0.04702184309335191,True
500,0.0,1,dml_fixed_nuis_boot,-0.0817000507889482,0.0698275861166043,-0.21783750460531875,0.057221940050125764,True
500,0.0,1,dml_pairs_boot,-0.0817000507889482,0.06678620199976396,-0.26747709887781335,-0.006309894555355279,False
500,0.0,2,naive_ml,0.0025691844346171977,0.007868137115404976,-0.012852364311576554,0.01799073318081095,True
500,0.0,2,dml_if,-0.028528309746816964,0.05894891815548215,-0.14406818933156199,0.08701156983792804,True
500,0.0,2,dml_mult_boot,-0.028528309746816964,0.060914915990835726,-0.14854386338337458,0.09347930368027653,True
500,0.0,2,dml_fixed_nuis_boot,-0.028528309746816964,0.0567757738510718,-0.14385476752077003,0.08239261002604872,True
500,0.0,2,dml_pairs_boot,-0.028528309746816964,0.06169296360334737,-0.11485966359583552,0.10809135966267892,True
500,0.0,3,naive_ml,0.00544395423036838,0.007613913527364442,-0.009479316283265926,0.020367224744002686,True
500,0.0,3,dml_if,0.06477224716414691,0.056477765583563336,-0.04592417337963722,0.17546866770793104,True
500,0.0,3,dml_mult_boot,0.06477224716414691,0.05702678362950551,-0.04904343709230147,0.17276103028807152,True
500,0.0,3,dml_fixed_nuis_boot,0.06477224716414691,0.05540054590203732,-0.04310120405654438,0.16729054210721103,True
500,0.0,3,dml_pairs_boot,0.06477224716414691,0.0603057811603491,-0.07505220842881381,0.15905996855792395,True
500,0.0,4,naive_ml,0.004964940130627682,0.007136651550844485,-0.00902289690902751,0.018952777170282875,True
500,0.0,4,dml_if,0.012616380926462282,0.060784652584975035,-0.10652153814008879,0.13175429999301336,True
500,0.0,4,dml_mult_boot,0.012616380926462282,0.06266444960160637,-0.11184405964078255,0.1355807293134918,True
500,0.0,4,dml_fixed_nuis_boot,0.012616380926462282,0.0593378108371741,-0.09700523215602896,0.12995118495894728,True
500,0.0,4,dml_pairs_boot,0.012616380926462282,0.06476349627632676,-0.0816530051945173,0.15243565569530987,True
500,0.0,5,naive_ml,0.005498723146737412,0.007961110866656027,-0.010105054151908401,0.021102500445383223,True
