n,theta_true,rep,estimator,theta_hat,se,ci_low,ci_high,covers
500,0.0,0,naive_ml,-0.01447067102972023,0.017427610106408618,-0.04862878683828112,0.019687444778840657,True
500,0.0,0,dml_if,-0.03421484819112803,0.04377513851867568,-0.12001411968773235,0.051584423305476294,True
500,0.0,0,dml_mult_boot,-0.03421484819112803,0.045117023314119806,-0.11678731316921494,0.053850797503508366,True
500,0.0,0,dml_fixed_nuis_boot,-0.03421484819112803,0.04357971116203506,-0.11757281029155185,0.043038836938262076,True
500,0.0,0,dml_pairs_boot,-0.03421484819112803,0.04850582475855366,-0.1267692217524724,0.06254687402718558,True
500,0.0,1,naive_ml,-0.01636627599306112,0.014881024128922825,-0.045533083285749856,0.012800531299627618,True
500,0.0,1,dml_if,-0.10159706642408392,0.03907002713077046,-0.178174319600394,-0.02501981324777383,False
500,0.0,1,dml_mult_boot,-0.10159706642408392,0.04049436558923934,-0.1736886786277633,-0.02041778184747216,False
500,0.0,1,dml_fixed_nuis_boot,-0.10159706642408392,0.037961203193610946,-0.17696753739815077,-0.03070557898307404,False
500,0.0,1,dml_pairs_boot,-0.10159706642408392,0.03974949139944203,-0.20115455060340964,-0.0546885060478238,False
500,0.0,2,naive_ml,0.01125475641469039,0.017048922463411578,-0.0221611316135963,0.04467064444297708,True
500,0.0,2,dml_if,0.007011345433046883,0.044761711523328994,-0.08072160915267795,0.09474430001877171,True
500,0.0,2,dml_mult_boot,0.007011345433046883,0.045113058145591425,-0.08797185361678952,0.10141985092385165,True
500,0.0,2,dml_fixed_nuis_boot,0.007011345433046883,0.04545142856601721,-0.08980963341612623,0.0933390388434247,True
500,0.0,2,dml_pairs_boot,0.007011345433046883,0.044376510909419076,-0.06183016481329276,0.09912476806526986,True
500,0.0,3,naive_ml,0.015833614457127235,0.015583988778262508,-0.014711003548267283,0.04637823246252175,True
500,0.0,3,dml_if,0.04997505585170848,0.04343278101234244,-0.03515319493248271,0.13510330663589967,True
500,0.0,3,dml_mult_boot,0.04997505585170848,0.04416878791723908,-0.03376563485010517,0.1349477595016885,True
500,0.0,3,dml_fixed_nuis_boot,0.04997505585170848,0.04188829177188967,-0.030692341196089663,0.13137959585483128,True
500,0.0,3,dml_pairs_boot,0.04997505585170848,0.04573392497354474,-0.03765756219803184,0.12928688267765143,True
500,0.0,4,naive_ml,0.0028276544796237723,0.015827620952258394,-0.02819448258680268,0.03384979154605022,True
500,0.0,4,dml_if,-0.008958210659117916,0.04561327726953534,-0.09836023410740719,0.08044381278917134,True
500,0.0,4,dml_mult_boot,-0.008958210659117916,0.0448588296358192,-0.0954986639788915,0.0762899210407692,True
500,0.0,4,dml_fixed_nuis_boot,-0.008958210659117916,0.04344493742266369,-0.09000151048240176,0.07928588080456801,True
500,0.0,4,dml_pairs_boot,-0.008958210659117916,0.04972097430114767,-0.08736458107425907,0.10664533495214897,True
500,0.0,5,naive_ml,0.022194909940987478,0.01725601277473327,-0.011626875097489737,0.056016694979464696,True
500,0.0,5,dml_if,0.05992744908394724,0.04166160061340476,-0.02172928811832609,0.14158418628622058,True
500,0.0,5,dml_mult_boot,0.05992744908394724,0.04120662659677277,-0.01894146084171315,0.1417828387635028,True
500,0.0,5,dml_fixed_nuis_boot,0.05992744908394724,0.04325188039588288,-0.02109613075986555,0.15168486292368244,True
500,0.0,5,dml_pairs_boot,0.05992744908394724,0.03965644930969267,-0.021388659366368416,0.12512386613640247,True
500,0.0,6,naive_ml,0.004983371621350807,0.014936995901981548,-0.024293140346533026,0.03425988358923464,True
500,0.0,6,dml_if,0.003225382321159074,0.040491165101476115,-0.07613730127773412,0.08258806592005226,True
500,0.0,6,dml_mult_boot,0.003225382321159074,0.041853665835547074,-0.07341963020016574,0.08518080046965226,True
500,0.0,6,dml_fixed_nuis_boot,0.003225382321159074,0.042982648789310025,-0.08165393336977865,0.0857919844817719,True
500,0.0,6,dml_pairs_boot,0.003225382321159074,0.036538423344594985,-0.06374095190899724,0.07055616032337189,True
500,0.0,7,naive_ml,-0.0033472538530847874,0.01888720193092491,-0.0403661696376976,0.033671661931528034,True
500,0.0,7,dml_if,-0.016774946490226785,0.043207989087213794,-0.10146260510116582,0.06791271212071225,True
500,0.0,7,dml_mult_boot,-0.016774946490226785,0.042748280224647765,-0.1043072877236637,0.0668955964447114,True
500,0.0,7,dml_fixed_nuis_boot,-0.016774946490226785,0.04308303219194564,-0.0921324807002667,0.06866645969899299,True
500,0.0,7,dml_pairs_boot,-0.016774946490226785,0.04905838192922425,-0.11500288406479564,0.07893094551935911,True
500,0.0,8,naive_ml,0.013486862513556387,0.016916422953371504,-0.019669326475051763,0.04664305150216454,True
500,0.0,8,dml_if,0.006276909207847225,0.04341861680097492,-0.07882357972206362,0.09137739813775807,True
500,0.0,8,dml_mult_boot,0.006276909207847225,0.044740084155826046,-0.07758874716417781,0.0893439490791969,True
500,0.0,8,dml_fixed_nuis_boot,0.006276909207847225,0.040794482784343084,-0.06972987491687076,0.0923329120440611,True
500,0.0,8,dml_pairs_boot,0.006276909207847225,0.0453580712442255,-0.07845369741283635,0.0807117058741891,True
500,0.0,9,naive_ml,0.015909029223533124,0.018598790808633463,-0.02054460076138846,0.052362659208454704,True
500,0.0,9,dml_if,0.03074275458410915,0.04253295219830733,-0.052621831724573215,0.11410734089279151,True
500,0.0,9,dml_mult_boot,0.03074275458410915,0.04176364120862168,-0.05099037515506653,0.11313517675630602,True
500,0.0,9,dml_fixed_nuis_boot,0.03074275458410915,0.04249329623246469,-0.05403674715579782,0.1110043471079659,True
500,0.0,9,dml_pairs_boot,0.03074275458410915,0.042619357268071444,-0.03456705426616519,0.1282266496723577,True
500,0.0,10,naive_ml,0.005160622838249761,0.015859556392076073,-0.025924107690219342,0.036245353366718865,True
500,0.0,10,dml_if,-0.028206469129059858,0.039937971882212216,-0.1064848940181958,0.05007195576007609,True
500,0.0,10,dml_mult_boot,-0.028206469129059858,0.039808562448560195,-0.10273337988637972,0.04930709327875711,True
500,0.0,10,dml_fixed_nuis_boot,-0.028206469129059858,0.03861939645023554,-0.10770359200144233,0.0544503669246946,True
500,0.0,10,dml_pairs_boot,-0.028206469129059858,0.04030017596097046,-0.09556559725360653,0.04488030328856046,True
500,0.0,11,naive_ml,0.008219522875756386,0.016380975824302996,-0.02388718973987749,0.04032623549139026,True
500,0.0,11,dml_if,-0.026022734032726317,0.04389241496220705,-0.11205186735865212,0.060006399293199494,True
500,0.0,11,dml_mult_boot,-0.026022734032726317,0.04309061545920028,-0.10661133171252045,0.06204912333782668,True
500,0.0,11,dml_fixed_nuis_boot,-0.026022734032726317,0.04573394178540079,-0.10812964642970926,0.0667892248494477,True
500,0.0,11,dml_pairs_boot,-0.026022734032726317,0.04235282868079258,-0.10387159863222535,0.06983203502914927,True
500,0.0,12,naive_ml,0.002997139100177039,0.01882459112052658,-0.03389905949605506,0.03989333769640913,True
500,0.0,12,dml_if,0.017497829641319882,0.04786495009495664,-0.07631747254479514,0.1113131318274349,True
