spike_strength,n_reps_ok,cov_classical,mean_se_classical,cov_hc1,mean_se_hc1,cov_swm_v_off_only,mean_se_swm_v_off_only,cov_swm_fix,mean_se_swm_fix,cov_swm_sweep,mean_se_swm_sweep,cov_conley_lehner,mean_se_conley_lehner,cov_fixed_b,mean_se_fixed_b,cov_bch_cluster,mean_se_bch_cluster,cov_self_normalized,mean_se_self_normalized,cov_wcb,mean_se_wcb,cov_block_boot,mean_se_block_boot,mean_v_off,mean_v_between,mean_ratio_v_off_to_total,mean_cov_bin_0,mean_cov_bin_1,mean_cov_bin_2,mean_cov_bin_3,mean_cov_bin_4,mean_cov_bin_5,mean_resid_corr_within_fold,mean_resid_corr_across_fold,mean_cross_fold_mean_sd,mean_cross_fold_mean_max_abs,bias_theta,sd_theta,rho
0.5,200,0.64,0.08846420071400711,0.58,0.0823364699068712,0.6,0.08587972040716142,0.57,0.08070962668792556,0.64,0.09382067528603046,0.64,0.08807097425386406,0.585,0.08423861153647866,0.72,0.07656744881312426,0.805,0.10741777396032975,0.47,0.06817751996039403,0.63,0.09433375063910532,0.0016971445677436958,0.007021260644964092,0.7672335703137894,-0.007367345864639961,0.001348717737390146,0.00025541722344473583,-0.00013162529688089504,-1.9433785054078033e-06,-3.0908089276871645e-05,-0.00023784235055907522,-0.0003295113793921815,0.03848986644582254,0.05668993454915024,-0.09293240497896005,0.16560985748045404,0.6
1.375,200,0.635,0.08956040878471887,0.575,0.08330597021650461,0.595,0.08731991669786578,0.58,0.08449597414244518,0.64,0.09665354726902713,0.595,0.08905187035765647,0.595,0.08802874169317249,0.725,0.08033482569024636,0.8,0.10675092908841989,0.45,0.0720002225350226,0.635,0.09452367044836403,0.001768644871330603,0.007477470199744356,18.15975452584707,-0.0072660861276113535,0.001089455164012807,0.00033349091504414704,-0.00010911184687179927,-1.8677296399910564e-05,-3.061288330239401e-05,-0.00034273226235599657,-0.00030471574991500775,0.036638708070759154,0.052811358527147245,-0.10114395025819109,0.16061949532938705,0.6
2.25,200,0.625,0.08910695783967809,0.555,0.08440503645109743,0.59,0.08926534556101323,0.56,0.08629757229268271,0.61,0.09670828856529745,0.6,0.08985187122640005,0.575,0.08927200973014542,0.69,0.08024633917041349,0.805,0.10856769430922408,0.46,0.07121967288359596,0.67,0.0977860668994956,0.002035875886742225,0.007539603994377932,0.04163759182270887,-0.007235650943203043,0.001193365275216113,0.00024270815641863944,-0.00015252266929053712,2.995642749284008e-05,-4.1842048542517774e-05,-0.0002049194196374627,-0.0003379607249895236,0.03844351941665672,0.056037977965492855,-0.10285325813586493,0.16165555608845789,0.6
3.125,200,0.59,0.08975409527500265,0.57,0.0853423556889879,0.62,0.09214721536106672,0.555,0.090655975229364,0.595,0.10104114748779977,0.59,0.09131988979733785,0.565,0.09349629934644695,0.64,0.08292826383252556,0.82,0.11461222114712412,0.43,0.07419234650224836,0.61,0.09857140979641237,0.0023270243255221414,0.008072414829765484,0.3406141977705645,-0.007231217355949118,0.0010856300554941396,0.0003570797296048153,-0.00013166243155408907,-1.7551860558415575e-05,-2.95979496171287e-05,-0.0002483825336795683,-0.0003278843632301577,0.037892825328699524,0.055323902288614606,-0.09814107738657878,0.17442463533354097,0.6
4.0,200,0.59,0.08817252988318174,0.555,0.08453546019593404,0.58,0.09051059976275884,0.575,0.0904876702996126,0.66,0.10038302435775495,0.585,0.08987951474149217,0.6,0.09297087142118157,0.69,0.08390781525345023,0.81,0.11582237057035119,0.465,0.07427842104431251,0.635,0.09694875119261363,0.0022772048790788545,0.008305925306511301,0.17944533935640816,-0.007302475253403654,0.0012541154554253828,0.00026544103155662515,-9.05591924211966e-05,-2.3954420502030702e-05,-3.25070161767901e-05,-0.0003187708855232542,-0.0003092078177815486,0.03708885986692548,0.05325229512027013,-0.10958178732501453,0.16204860610822516,0.6
