spike_strength,rep_seed,theta_rs,tau_true,se_classical,se_hc1,se_swm_v_off_only,se_swm_fix,v_off,v_between,se_swm_sweep,h_sweep,se_conley_lehner,h_lehner,se_bch,t_bch,se_self_normalized,ci_sn_lo,ci_sn_hi,se_fixed_b,t_fixed_b,se_wcb,ci_wcb_lo,ci_wcb_hi,se_block_boot,ci_bb_lo,ci_bb_hi,cov_bin_0,cov_bin_edge_0,cov_bin_1,cov_bin_edge_1,cov_bin_2,cov_bin_edge_2,cov_bin_3,cov_bin_edge_3,cov_bin_4,cov_bin_edge_4,cov_bin_5,cov_bin_edge_5,resid_corr_within_fold,resid_corr_across_fold,cross_fold_mean_sd,cross_fold_mean_max_abs,rho
0.5,365994733,-0.10359962176719287,0.1,0.07005894854966165,0.06900176111670579,0.06907399565943671,0.06939958560882126,0.00029787904408604734,0.004518423438590062,0.04567976234081531,0.13433311575578563,0.05986424708967671,0.08231146441963005,0.06731628678016356,2.7764451051977987,0.08440253984658237,-0.33342178345757195,0.13525625378903966,0.02698564581496987,12.706204736432095,0.051185588923142296,-0.21019332444098351,-0.01044274386563282,0.061368756517613976,-0.24602001515514893,-0.020796222980038533,-0.004237719961421478,0.13433311575578563,-0.0025792762916873376,0.19388446592450692,-0.0045025205691465115,0.2861672411958622,0.0046558131105041605,0.44016388314903004,-0.005706339990792478,0.6614289311079893,0.00035894415465376124,1.364505794256775,-0.0062998771610197814,-0.0002614648778110183,0.035995432047889825,0.04969871938741283,0.05
0.5,127110760,0.012540395012988679,0.1,0.07460724736256169,0.09265870194668151,0.10833900610938894,0.08189948913997905,0.0020793731313301107,0.004628153190059436,0.08529444614709052,0.13433311575578563,0.11843860038324047,0.08231146441963005,0.0681287703936349,2.7764451051977987,0.09746243131939882,-0.16844120511753033,0.3727569756373126,0.03058539638997645,12.706204736432095,0.06017106339797223,-0.09334470242712195,0.10247315611277141,0.09469960470346711,-0.10399383421783547,0.2735417478973518,0.00010718499539084602,0.13433311575578563,-0.006047843802046416,0.19388446592450692,-0.008153109123167503,0.2861672411958622,0.0017125683736883093,0.44016388314903004,-0.002647398225365396,0.6614289311079893,0.001021289038885438,1.364505794256775,0.0017050707394848453,-0.0020088605919624156,0.10068468696230584,0.1701763244050796,0.05
0.5,894302036,-0.018853884628660226,0.1,0.08638529142756392,0.074375471667113,0.07336428783948355,0.08153291370607613,7.065411855584382e-05,0.006576961898846612,0.07257957162481024,0.13433311575578563,0.06815417172217796,0.08231146441963005,0.08121558015090395,2.7764451051977987,0.1541316380368299,-0.4226565722936859,0.43321949167326446,0.07135854889161777,12.706204736432095,0.07041145420457823,-0.162118883237914,0.11052399248115814,0.07755120719952034,-0.18822054485471648,0.09674455489394705,-0.010555573381130202,0.13433311575578563,-0.0014788684020461559,0.19388446592450692,-0.009371733165953026,0.2861672411958622,0.00543742498977293,0.44016388314903004,-0.0008585112285740878,0.6614289311079893,-0.0018692090981765046,1.364505794256775,0.0013656120629531822,-0.001923100042950537,0.09766356642158172,0.1661460725263234,0.05
0.5,2081528600,-0.17016863279374037,0.1,0.07120661761094413,0.04666591396309692,0.047145259286571706,0.04063814422323123,0.000364564561451999,0.0012868942044561432,0.07407073933261536,0.32612014812863077,0.053343552086758866,0.08231146441963005,0.03592511032506187,2.7764451051977987,0.058311298835802536,-0.3355003105904206,-0.011704070129640504,0.07662229169990238,12.706204736432095,0.032530119629903695,-0.22645966064312398,-0.11387760494435675,0.05867654564153643,-0.2592942488167532,0.014320903633348231,-0.016338810515544363,0.13433311575578563,-0.0064245575316737935,0.19388446592450692,0.0015105036780670735,0.2861672411958622,-0.0023510545885477322,0.44016388314903004,-8.161774767143405e-07,0.6614289311079893,-0.00020567300380809985,1.364505794256775,0.001363892518995093,-0.002236770728336888,0.105603972756456,0.1352462030919387,0.05
0.5,2048464303,0.1184273770320804,0.1,0.057515726717856666,0.041765409611569645,0.04504497566911608,0.02139752090150576,0.00014384954412830614,0.0003140043566020697,0.01793759268868124,0.13433311575578563,0.04505737320612961,0.08231146441963005,0.017745756778573072,2.7764451051977987,0.061285381942634026,-0.039404422031422,0.30090657539818566,1e-150,12.706204736432095,0.014790685625481283,0.08514106259973454,0.14515726780544722,0.07413605096001338,-0.05151602716822107,0.20424917430647918,-0.008123847721836058,0.13433311575578563,0.0014776480354067492,0.19388446592450692,-0.0021387206099868846,0.2861672411958622,-0.0005092699431764452,0.44016388314903004,-0.003891122850402351,0.6614289311079893,0.0017278058187923115,1.364505794256775,-0.00014059176792569203,-0.0015823657622804663,0.08845313279010593,0.13815261445708107,0.05
0.5,1809507340,-0.12171357822338477,0.1,0.06704871077074717,0.05063328989102024,0.046203275802698576,0.06646933637477825,0.00017591918202563596,0.004242253496077783,0.06203579337723883,0.13433311575578563,0.04683913485622746,0.08231146441963005,0.06522663830316831,2.7764451051977987,0.20012757644031484,-0.8734613864955497,0.2378250735500712,0.0525740723066885,12.706204736432095,0.05690266735453313,-0.22147618774436006,-0.027810175492716777,0.0507329274387783,-0.2310596205929816,-0.036592561329616594,-0.008401104845324503,0.13433311575578563,-7.457339609115383e-05,0.19388446592450692,-0.0029178810349772843,0.2861672411958622,-0.0018700935628373104,0.44016388314903004,-0.0004876561650063718,0.6614289311079893,-0.000477254076679166,1.364505794256775,-0.001421631037142789,-0.0013758746467820112,0.08255151577907636,0.13893883176419441,0.05
0.5,1558729212,-0.0709013994561048,0.1,0.09522073352284241,0.07811629060059874,0.07933552415653754,0.08542308286665808,0.00019780563434203518,0.0070992974521018985,0.08091273514544013,0.13433311575578563,0.08024080785484287,0.08231146441963005,0.08437900007010345,2.7764451051977987,0.1501775212481264,-0.3587045877526514,0.47521469980754644,0.06641174413397342,12.706204736432095,0.07189499470932703,-0.19812409747413245,0.04502588212438392,0.07375619290915358,-0.2051135828594251,0.08006165371370629,-0.035417607752802345,0.13433311575578563,0.019882349785590902,0.19388446592450692,0.0008500802596705764,0.2861672411958622,-0.003606722180943069,0.44016388314903004,0.0010546113468980402,0.6614289311079893,-0.0024921501525682252,1.364505794256775,-0.008223032472211683,-0.00027063603913136974,0.03682288783071925,0.04924984480559731,0.05
0.5,1506253675,0.0937083173810077,0.1,0.07154863341863474,0.030938678641677257,0.039115572817086226,0.031181459359073408,0.00012900557650079357,0.000843277831260753,0.03717890821756838,0.19388446592450692,0.039428830568818476,0.08231146441963005,0.029081180347885587,2.7764451051977987,0.08740559229586453,-0.14013153982880144,0.34522211796473357,0.034553129004426496,12.706204736432095,0.02365184746121277,0.044410471858276734,0.12867931669291086,0.0644363549256689,-0.11565846368584627,0.1431937387287712,-0.018430407622128255,0.13433311575578563,-0.0008233366425230871,0.19388446592450692,0.00612544164093733,0.2861672411958622,0.0011431386779811432,0.44016388314903004,-0.001981765171632444,0.6614289311079893,-0.0023920243922648707,1.364505794256775,0.004825791181673822,-0.0029743903576223345,0.12189426125084683,0.1406998062745286,0.05
0.5,113298368,-0.19581876891509958,0.1,0.06372893162039203,0.09489646289375672,0.09632218013085955,0.09620934360229068,0.000316070279515775,0.008940167516867856,0.10992220620940396,0.13433311575578563,0.10348147595608143,0.08231146441963005,0.09468899699178181,2.7764451051977987,0.09423732477647398,-0.5313751845791981,-0.008085666374045175,0.06498943851909564,12.706204736432095,0.0892902740804425,-0.3384801377715818,-0.06206544196344344,0.11924867859901857,-0.4433397719326216,-0.07372497041504128,-0.013357299819501484,0.13433311575578563,-0.0032436098107949196,0.19388446592450692,0.0007591504163346271,0.2861672411958622,-0.0009405561565870702,0.44016388314903004,-0.0006652618085684667,0.6614289311079893,-0.0007658156087997404,1.364505794256775,-0.00016359947180436855,-0.0017119235326886486,0.09262302855177995,0.10567220317661366,0.05
0.5,219539716,0.029255526375097762,0.1,0.07666719026062893,0.10669641813449941,0.1100254867071559,0.05647392954957079,0.0006517652175464916,0.002537539501223393,1e-150,0.13433311575578563,0.09516933091103805,0.08231146441963005,0.05044673855084868,2.7764451051977987,0.20319635786418092,-0.680137159643226,0.44818990672882464,1e-150,12.706204736432095,0.04529430953280487,-0.04545925998713615,0.10192987095351987,0.1277176801842538,-0.28225955234763905,0.22564269356722427,-0.01454785699596111,0.13433311575578563,-0.007193468539247965,0.19388446592450692,-0.008194481121716394,0.2861672411958622,0.002899060405145435,0.44016388314903004,-0.0014644745142613402,0.6614289311079893,0.0003605702586256492,1.364505794256775,-0.003927614096552925,-0.0010720877547357528,0.07323426614612474,0.09177851947730135,0.05
