spike_strength,n_reps_ok,cov_classical,mean_se_classical,cov_hc1,mean_se_hc1,cov_swm_v_off_only,mean_se_swm_v_off_only,cov_swm_fix,mean_se_swm_fix,cov_swm_sweep,mean_se_swm_sweep,cov_conley_lehner,mean_se_conley_lehner,cov_fixed_b,mean_se_fixed_b,cov_bch_cluster,mean_se_bch_cluster,cov_self_normalized,mean_se_self_normalized,cov_wcb,mean_se_wcb,cov_block_boot,mean_se_block_boot,mean_v_off,mean_v_between,mean_ratio_v_off_to_total,mean_cov_bin_0,mean_cov_bin_1,mean_cov_bin_2,mean_cov_bin_3,mean_cov_bin_4,mean_cov_bin_5,mean_resid_corr_within_fold,mean_resid_corr_across_fold,mean_cross_fold_mean_sd,mean_cross_fold_mean_max_abs,bias_theta,sd_theta,rho
0.5,200,0.45,0.07104567442920644,0.405,0.0626465941633734,0.435,0.06593272735498021,0.415,0.06495012857856407,0.43,0.06875406616204156,0.435,0.06840157459322756,0.325,0.05362139731126815,0.485,0.06054262015594483,0.75,0.12664782035037475,0.35,0.05388958712853367,0.445,0.0868578168242825,0.0006797522200207428,0.004747464253838374,0.12894589876232207,-0.013353872499573418,0.00021477724215258337,-0.0012033912045057798,-0.0005822670152387275,-0.0007635725068361323,-0.0008554023748233542,-0.0012418102526226705,-0.0014135792211011871,0.07930166248537562,0.11409692531513031,-0.12423110781057764,0.20516212224123156,0.05
1.375,200,0.43,0.0715826786981724,0.36,0.06382969734435466,0.38,0.06777728974345719,0.34,0.06440888708409295,0.37,0.06952395541142434,0.39,0.07060963727200961,0.295,0.05147938152043743,0.42,0.059399342682782595,0.685,0.12343267296093019,0.275,0.05313366229455637,0.425,0.0843659528365356,0.0007225416185607339,0.004485795492637875,0.21323112293226212,-0.013709575566546417,-0.000566691544019914,-0.0010641448162909376,-0.0007464439190481048,-0.0006718665063365077,-0.0007741008207218009,-0.0014278831398599567,-0.0013978121013189554,0.07842915340185251,0.1141210428638296,-0.08246455190421617,0.21319239275531168,0.05
2.25,200,0.46,0.07041441592767747,0.42,0.06057591093451185,0.42,0.06362732953281663,0.375,0.05955978395396727,0.395,0.06205644261648519,0.42,0.06585298373204246,0.295,0.04965040299793191,0.465,0.05575655821111338,0.705,0.13133657230365012,0.305,0.04985071870718777,0.48,0.08010020091868104,0.0005080224151197426,0.0038781822818126344,0.09721225261869972,-0.013619468958670954,-0.0007618824576350543,-0.00034996727367295373,-0.0008156430969531955,-0.0006820211191671422,-0.0008895027198865585,-0.001350545566665229,-0.0013956796271556648,0.07780944445930581,0.11050943606212055,-0.11758023547452442,0.20979249832693847,0.05
3.125,200,0.48,0.07133095507869652,0.425,0.06210353280446457,0.455,0.06555923225013988,0.405,0.06382227595925798,0.455,0.0683550737758713,0.48,0.06810322098899295,0.335,0.05441141922459417,0.53,0.059437832402772645,0.785,0.13551914582935093,0.32,0.05316040389442799,0.495,0.08390885789587432,0.0005873194363554715,0.004686666647443301,0.14543285680914955,-0.013635921987753083,-0.0010776607331387529,-0.00020557208148658552,-0.0008021869303338558,-0.0010209609584350679,-0.0006054577570103086,-0.0015649877735411384,-0.0013632440798855936,0.07771463881894966,0.11200820350628843,-0.10930631814215833,0.2039266030386005,0.05
4.0,200,0.515,0.07121218425279897,0.465,0.06387448026179365,0.475,0.06720730432692734,0.44,0.06576200687832552,0.415,0.06953643826463393,0.48,0.0695077822164577,0.335,0.054779711717615885,0.55,0.06119526518843219,0.815,0.1345686586864922,0.325,0.054468713062065695,0.545,0.0879283681279721,0.0005944696077483009,0.004645430875427342,0.4575343568625421,-0.013640367123680008,-0.0005896938084849258,-0.0006451871174411377,-0.0008365443216439253,-0.000896897195185513,-0.0006538711104963588,-0.0017416925638149578,-0.0013266849688943734,0.07703462859657273,0.11032244767445737,-0.0813903053895865,0.1972886633228407,0.05
