estimator,N,dgp,beta_direct,truth,n_reps_ok,bias,sd,rmse,coverage,mean_ci_length
DR,500,scm0,0.0,-0.0039969859707964794,300,0.0015954835058600782,0.03179375089978938,0.031780791188615855,0.9566666666666667,0.12470666084517039
DR,500,scm1_0.01,0.41639816656178424,-0.003157612328358557,300,0.00018112748406586216,0.033235663281896644,0.0331807186466348,0.94,0.12821293480171883
DR,500,scm1_0.05,0.9504944939757334,-0.002103514305105105,300,-0.0009145884647754959,0.0333432401754426,0.03330018366174315,0.97,0.13868107243464797
DR,500,scm1_0.10,1.3810364818773504,-0.0015882802685782988,300,-0.000554309479266315,0.03651200237402583,0.03645531267138536,0.96,0.15206561612375524
DR,2000,scm0,0.0,-0.0039969859707964794,300,-0.00048261367546317564,0.01534704918947032,0.01532904851540648,0.94,0.05796488752041685
DR,2000,scm1_0.01,0.41639816656178424,-0.003157612328358557,300,0.0018177382606833434,0.014613915231764796,0.014702340031127309,0.9566666666666667,0.059501495898855
DR,2000,scm1_0.05,0.9504944939757334,-0.002103514305105105,300,0.0015639722548437393,0.015851222368836505,0.015901877948791755,0.9666666666666667,0.06474623569804519
DR,2000,scm1_0.10,1.3810364818773504,-0.0015882802685782988,300,0.003003121631547907,0.019184931743446067,0.019386940798242335,0.9333333333333333,0.07092541524898595
DML,500,scm0,0.0,0.010578270638701386,300,0.0006380558948273687,0.016467001506133654,0.01645191113921385,0.92,0.05826910917786665
DML,500,scm1_0.01,0.41639816656178424,0.07668019759378963,300,-0.007161655699394129,0.02616511710880863,0.027085431899145997,0.9133333333333333,0.05814742848055844
DML,500,scm1_0.05,0.9504944939757334,0.16169488373608273,300,-0.011872108061700748,0.0421125301322886,0.04368638910833066,0.8766666666666667,0.05906461125208118
DML,500,scm1_0.10,1.3810364818773504,0.2305506170381782,300,-0.0202571145989828,0.0683245301597577,0.07115498091271935,0.7766666666666666,0.05947157924098762
DML,2000,scm0,0.0,0.010578270638701386,300,-0.0006259476546533888,0.00788083392633024,0.007892548935304897,0.9333333333333333,0.028903635026230574
DML,2000,scm1_0.01,0.41639816656178424,0.07668019759378963,300,-0.001519566136920239,0.0075474355678542444,0.007686545753233348,0.9366666666666666,0.02903344193982421
DML,2000,scm1_0.05,0.9504944939757334,0.16169488373608273,300,-0.002080062506373992,0.008405811745739952,0.008645739156653596,0.9066666666666666,0.029170707630863848
DML,2000,scm1_0.10,1.3810364818773504,0.2305506170381782,300,-0.002925193556351624,0.008701476802980439,0.009166246245496848,0.8766666666666667,0.02929938298609477
DML_cfpca,500,scm0,0.0,0.010725519787970952,300,-0.0011568222852549066,0.018905258495088503,0.0189091426009543,0.8966666666666666,0.06119656361147734
DML_cfpca,500,scm1_0.01,0.41639816656178424,0.07697360561324114,300,-0.0002831625403177246,0.023040242144616623,0.023003552549838876,0.9266666666666666,0.061532767060524886
DML_cfpca,500,scm1_0.05,0.9504944939757334,0.1621782257758086,300,-0.0034020587359634147,0.03149913703096,0.031630085655261146,0.8733333333333333,0.061919589935668685
DML_cfpca,500,scm1_0.10,1.3810364818773504,0.23119687380676543,300,-0.010165045384994797,0.06989287966733088,0.07051283141228286,0.89,0.06277104881588778
DML_cfpca,2000,scm0,0.0,0.010725519787970952,300,-0.0009794566842397275,0.007626065097668314,0.0076760893715874055,0.9433333333333334,0.029329734784202158
DML_cfpca,2000,scm1_0.01,0.41639816656178424,0.07697360561324114,300,-0.0006319725489739025,0.008562757007821532,0.008571802271735898,0.91,0.02935365935625284
DML_cfpca,2000,scm1_0.05,0.9504944939757334,0.1621782257758086,300,-0.002280258224040904,0.008763008563874528,0.009040681884047394,0.9,0.029443157440220594
DML_cfpca,2000,scm1_0.10,1.3810364818773504,0.23119687380676543,300,-0.0028909882055599134,0.008865339640230556,0.009310750717219717,0.9,0.02960604488127948
