n,theta_true,estimator,n_reps,bias,rmse,avg_se,sd_theta_hat,coverage_95,mean_ci_width
500,0.0,dml_if,200,0.003909656095199644,0.04531259077370378,0.04401749571191834,0.04525689344024534,0.92,0.17254858319071992
500,0.0,dml_mult_boot,200,0.003909656095199644,0.04531259077370378,0.04389460853432504,0.04525689344024534,0.91,0.17034084743743555
500,0.0,dml_pairs_boot,200,0.003909656095199644,0.04531259077370378,0.04528652006044138,0.04525689344024534,0.93,0.17056215358598167
500,0.0,naive_ml,200,0.0067493794575306555,0.013795840776429978,0.016938719123686156,0.012062279744311245,0.985,0.06639977896484973
500,0.5,dml_if,200,0.0011452118134112016,0.04625231501895491,0.044733504106477175,0.04635416570174236,0.95,0.17535533609739054
500,0.5,dml_mult_boot,200,0.0011452118134112016,0.04625231501895491,0.044664600401602535,0.04635416570174236,0.935,0.17326050391680528
500,0.5,dml_pairs_boot,200,0.0011452118134112016,0.04625231501895491,0.04661615311276913,0.04635416570174236,0.935,0.17685740556784763
500,0.5,naive_ml,200,-0.36214321137555444,0.36250496701141827,0.017648295574872925,0.01623153957376313,0.0,0.06918131865350187
1000,0.0,dml_if,200,0.00041375999401963785,0.02963357138662422,0.03142719640115533,0.02970503833199055,0.975,0.1231946098925289
1000,0.0,dml_mult_boot,200,0.00041375999401963785,0.02963357138662422,0.031413766752574845,0.02970503833199055,0.96,0.12183096484367692
1000,0.0,dml_pairs_boot,200,0.00041375999401963785,0.02963357138662422,0.031837925328312686,0.02970503833199055,0.96,0.11989751705346567
1000,0.0,naive_ml,200,0.0075645930765247974,0.013401619503154013,0.0156031350129239,0.011090325218911174,0.98,0.0611642892506617
1000,0.5,dml_if,200,-0.0015227223224736064,0.03454271548110344,0.03173190573347064,0.03459573432817452,0.915,0.1243890704752049
1000,0.5,dml_mult_boot,200,-0.0015227223224736064,0.03454271548110344,0.03186451731183998,0.03459573432817452,0.92,0.1234892938557832
1000,0.5,dml_pairs_boot,200,-0.0015227223224736064,0.03454271548110344,0.03249091502091097,0.03459573432817452,0.92,0.12268169954411169
1000,0.5,naive_ml,200,-0.31846766601279564,0.3187992831196469,0.01635164288394289,0.014573626001700616,0.0,0.06409844010505612
2000,0.0,dml_if,200,-0.0014775796665747799,0.024306877512161915,0.022418567302717705,0.024322809211930415,0.94,0.08788078382665342
2000,0.0,dml_mult_boot,200,-0.0014775796665747799,0.024306877512161915,0.022398063514092105,0.024322809211930415,0.94,0.0868133354921443
2000,0.0,dml_pairs_boot,200,-0.0014775796665747799,0.024306877512161915,0.022769255787159742,0.024322809211930415,0.935,0.08545154268886723
2000,0.0,naive_ml,200,0.007857092691756369,0.012374691791362498,0.012970974805061566,0.009584277921719864,0.95,0.05084622123584134
2000,0.5,dml_if,200,0.003138231622678145,0.023108104379433766,0.022345329043750986,0.022951467044410957,0.945,0.08759368985150388
2000,0.5,dml_mult_boot,200,0.003138231622678145,0.023108104379433766,0.022243464258545426,0.022951467044410957,0.945,0.08646607077496672
2000,0.5,dml_pairs_boot,200,0.003138231622678145,0.023108104379433766,0.022774950541879405,0.022951467044410957,0.925,0.08555384493785684
2000,0.5,naive_ml,200,-0.285943460367214,0.28615099073192435,0.013563774653432368,0.010923533678508106,0.0,0.05316999664145488
