spike_strength,rep_seed,theta_pc1,se_pc1_iid,ci_pc1_iid_lo,ci_pc1_iid_hi,theta_rs,se_rs_classical,se_rs_hc1,se_rs_boot,se_rs_hac,ci_rs_boot_lo,ci_rs_boot_hi,sin_theta_pc1,sin_theta_vperp,btw_within,tau_true
0.5,365994733,0.007321645762226325,0.33264669487901166,-0.6446658762006365,0.6593091677250891,0.308627436883286,0.05986855936251925,0.042674505205286234,,0.05303897805744668,,,0.9996659872108729,0.9991949198608153,0.2546432207607616,0.1
0.5,127110760,0.13707807741774267,0.3892219570326624,-0.6257969583662756,0.899953113201761,0.03638464052733701,0.05718527710454559,0.06432447035371411,,0.08647689238702247,,,0.9995601683514944,0.9999808610110249,0.3712907203832436,0.1
0.5,894302036,-0.24484137047198656,0.4203422818098985,-1.0687122428193876,0.5790295018754146,-0.4838067910992095,0.05450163905041298,0.04181556662450469,,0.04905992283696183,,,0.999949225435559,0.9973855019776708,0.4412586501802307,0.1
0.5,2081528600,0.09688259903862906,0.43070084820818433,-0.7472910634494122,0.9410562615266703,0.17198869357313798,0.0702364912771297,0.041029565198331674,,0.04575277485640966,,,0.9986415773771787,0.9999819006648107,0.452853411182578,0.1
0.5,2048464303,-0.16273056462719881,0.4638991329302153,-1.0719728651704208,0.7465117359160232,-0.05899221531260006,0.06781149503106612,0.08052692424520501,,0.11147334226843582,,,0.999897346802013,0.9979782703757761,0.5597468703539089,0.1
2.25,1809507340,3.8187677065498224,0.1707248357613706,3.484147028457536,4.153388384642109,0.21097658751480702,0.06289524007848747,0.0533214966522869,,0.08164291191788758,,,0.632013840536595,0.9992794690031818,0.24322645220068717,0.1
2.25,1558729212,4.847221349877138,0.1790004145050593,4.496380537447222,5.198062162307054,-0.03922094328534184,0.06664573117794163,0.11839834128338024,,0.13535313533527082,,,0.5956383830843915,0.9985290354625815,0.33715292018253895,0.1
2.25,1506253675,5.747218674597891,0.22445513237260611,5.307286615147582,6.187150734048199,0.28612550644219165,0.06825771537795806,0.0826315279055499,,0.10401750995753366,,,0.6551822325545386,0.9999999399881637,0.49971362406301484,0.1
2.25,113298368,5.50351365345695,0.21337109878435317,5.085306299839617,5.921721007074282,-0.19666750159296836,0.06702068120191881,0.04924605356450888,,0.06197385060410645,,,0.6327478884844845,0.9979595703218044,0.4297414844905319,0.1
2.25,219539716,5.785853903940264,0.19790526374624834,5.397959586997618,6.173748220882911,-0.03269413320721401,0.07183054715674261,0.03166298841658591,,0.03248677395709756,,,0.6185366336100198,0.9985666964749503,0.47823673488964724,0.1
4.0,1599278428,3.2389420081588267,0.07995458092124534,3.082231029553186,3.3956529867644676,-0.045971336409109116,0.06486944673014458,0.057079408870312716,,0.05848442937103162,,,0.36697303876401693,0.9999759034074372,0.28226832416042086,0.1
4.0,338715847,-3.670886519562271,0.08540974330368781,-3.838289616437499,-3.503483422687043,-0.0992951819798357,0.061396952215823,0.034786049661804194,,0.04224387771245129,,,0.3722817759740191,0.9999881494088724,0.3576033324364405,0.1
4.0,1756219502,4.985277262341904,0.09745777776867659,4.794260017915297,5.17629450676851,0.27292244703449586,0.04722103934497496,0.030765972692833016,,0.034561599121685084,,,0.3650690960254105,0.9999086516212752,0.656365465119504,0.1
4.0,335068227,-3.8679651271732998,0.1162111566082603,-4.09573899412549,-3.6401912602211097,0.028774846988216373,0.0685746469063322,0.07098611078955257,,0.07839780315821565,,,0.44087116890052963,0.9999639906423426,0.30896740784704607,0.1
4.0,310437996,-3.6550042602391297,0.0861150981363959,-3.8237898525864655,-3.486218667891794,0.21017156128516135,0.06694504799580012,0.0731903686179899,,0.098105368702429,,,0.36895034657398795,0.999846410245964,0.3483693623970402,0.1
