n,theta_true,rep,estimator,theta_hat,se,ci_low,ci_high,covers
500,0.0,0,dml_if,0.1824409574652684,0.10486242336828458,-0.02308939233656937,0.38797130726710616,True
500,0.0,0,dml_mult_boot,0.1824409574652684,0.10208347639639594,-0.03091178746008562,0.38746772041387995,True
500,0.0,0,dml_pairs_boot,0.1824409574652684,0.10347629058265753,-0.013031580330413767,0.40391093396378547,True
500,0.0,1,dml_if,0.2541832020453868,0.14216247737993237,-0.024455253619280637,0.5328216577100542,True
500,0.0,1,dml_mult_boot,0.2541832020453868,0.13721845537677618,-0.003959370612842901,0.5275666638625585,True
500,0.0,1,dml_pairs_boot,0.2541832020453868,0.16499123706810642,-0.07882342568672544,0.5278056963360673,True
500,0.0,2,dml_if,-0.2526310612330401,0.20539668604136344,-0.6552085658741125,0.14994644340803226,True
500,0.0,2,dml_mult_boot,-0.2526310612330401,0.2132619530860675,-0.6496383309948693,0.13433470384679322,True
500,0.0,2,dml_pairs_boot,-0.2526310612330401,0.25825907066246123,-0.880266392010312,-0.009762142677536778,False
500,0.0,3,dml_if,-0.17278075636671317,0.1290350866197243,-0.4256895261413728,0.08012801340794642,True
500,0.0,3,dml_mult_boot,-0.17278075636671317,0.1330393888642372,-0.45224347814106725,0.08446762059919648,True
500,0.0,3,dml_pairs_boot,-0.17278075636671317,0.16188202255531414,-0.6425476943856561,0.006891034906700757,True
500,0.0,4,dml_if,0.13768847295162653,0.0928503243705977,-0.04429816281474497,0.31967510871799804,True
500,0.0,4,dml_mult_boot,0.13768847295162653,0.09447495635129564,-0.048630839528468396,0.3099175013651052,True
500,0.0,4,dml_pairs_boot,0.13768847295162653,0.09298555953259979,-0.02618685553906401,0.3173436726985552,True
500,0.0,5,dml_if,-0.20209791145991404,0.14794687125873238,-0.49207377912702954,0.08787795620720143,True
500,0.0,5,dml_mult_boot,-0.20209791145991404,0.14709669198286135,-0.48784646763039685,0.07844450119307607,True
500,0.0,5,dml_pairs_boot,-0.20209791145991404,0.19743778621804875,-0.5878749889369062,0.09784019358196647,True
500,0.0,6,dml_if,0.18707550254125146,0.09617325634431083,-0.0014240798935977461,0.3755750849761007,True
500,0.0,6,dml_mult_boot,0.18707550254125146,0.09868712127213145,-0.020087618696191255,0.3671230607065501,True
500,0.0,6,dml_pairs_boot,0.18707550254125146,0.10135008630222553,-0.02040350607324526,0.34018568821497547,True
500,0.0,7,dml_if,-0.05896353281926589,0.09975338131137437,-0.25448016018955966,0.13655309455102788,True
500,0.0,7,dml_mult_boot,-0.05896353281926589,0.09692910802864131,-0.23598748845563627,0.14667986988665047,True
500,0.0,7,dml_pairs_boot,-0.05896353281926589,0.09554319435303368,-0.23118390252939344,0.08968238041376977,True
500,0.0,8,dml_if,0.00910780141070464,0.10441608874445037,-0.1955477325284181,0.21376333534982736,True
500,0.0,8,dml_mult_boot,0.00910780141070464,0.10772681679463682,-0.22209718888422586,0.217252427189503,True
500,0.0,8,dml_pairs_boot,0.00910780141070464,0.1004379201608086,-0.1337198734173367,0.19090544143042693,True
500,0.0,9,dml_if,-0.032670313794819,0.13529982651776817,-0.2978579737696446,0.23251734618000663,True
500,0.0,9,dml_mult_boot,-0.032670313794819,0.13936948069458735,-0.2927815080095281,0.2496727886323167,True
500,0.0,9,dml_pairs_boot,-0.032670313794819,0.20650964710280706,-0.31463128682233765,0.21920079931917794,True
500,0.0,10,dml_if,0.20042659708482374,0.09332859090741509,0.017502558906290155,0.38335063526335733,False
500,0.0,10,dml_mult_boot,0.20042659708482374,0.09203221857892765,0.02677088829980577,0.3781776108535001,False
