n,theta_true,rep,estimator,theta_hat,se,ci_low,ci_high,covers
2000,0.5,0,dml_if,0.5468731848451241,0.0546767636675601,0.43970672805670635,0.6540396416335419,True
2000,0.5,0,dml_mult_boot,0.5468731848451241,0.05233665975026747,0.44041142531779737,0.6439797916116282,True
2000,0.5,0,dml_pairs_boot,0.5468731848451241,0.07912953046987496,0.3635273515416687,0.6712011857540915,True
2000,0.5,0,dml_cal_if,0.5523564130665705,0.053297292496409354,0.44789371977360815,0.6568191063595328,True
2000,0.5,0,dml_cal_mult_boot,0.5523564130665705,0.05079033181947819,0.44968701453924886,0.648358399590561,True
2000,0.5,0,dml_cal_pairs_boot,0.5523564130665705,0.053737785853815896,0.45459214607025916,0.6406717257738287,True
2000,0.5,1,dml_if,0.48310192716954575,0.05353273266323633,0.37817777114960255,0.588026083189489,True
2000,0.5,1,dml_mult_boot,0.48310192716954575,0.0512520937138744,0.39198926261944306,0.5910058170750345,True
2000,0.5,1,dml_pairs_boot,0.48310192716954575,0.03802589961952732,0.40356088395442713,0.5444795826606077,True
2000,0.5,1,dml_cal_if,0.462829092396737,0.06110524323649928,0.3430628156531984,0.5825953691402755,True
2000,0.5,1,dml_cal_mult_boot,0.462829092396737,0.057033200636237555,0.35088623747163133,0.5722190789005258,True
2000,0.5,1,dml_cal_pairs_boot,0.462829092396737,0.04788034119571376,0.38222515301630333,0.5667679701742826,True
2000,0.5,2,dml_if,0.478789361544698,0.05109112505947697,0.3786507564281231,0.5789279666612729,True
2000,0.5,2,dml_mult_boot,0.478789361544698,0.052411376976806076,0.37589368584308314,0.5797347615893323,True
2000,0.5,2,dml_pairs_boot,0.478789361544698,0.06250237490788135,0.36137696217421544,0.5897975334093619,True
2000,0.5,2,dml_cal_if,0.481890613531068,0.05628987789138684,0.3715624528639498,0.5922187741981861,True
2000,0.5,2,dml_cal_mult_boot,0.481890613531068,0.056306158446242295,0.36956093442833243,0.5859801142237916,True
2000,0.5,2,dml_cal_pairs_boot,0.481890613531068,0.046970179444492166,0.3785827541192447,0.5351315616304484,True
2000,0.5,3,dml_if,0.6178669916164179,0.05457068329860026,0.5109084523511613,0.7248255308816745,False
2000,0.5,3,dml_mult_boot,0.6178669916164179,0.05426655606936453,0.5144936431171347,0.7180975989431136,False
2000,0.5,3,dml_pairs_boot,0.6178669916164179,0.04904010511324339,0.5311455217297935,0.6897807371890832,False
2000,0.5,3,dml_cal_if,0.6575940883554836,0.05642967920131767,0.546991917120901,0.7681962595900662,False
2000,0.5,3,dml_cal_mult_boot,0.6575940883554836,0.05701551766460848,0.5454572294384419,0.7660983750783555,False
2000,0.5,3,dml_cal_pairs_boot,0.6575940883554836,0.053512574059595856,0.508993910362042,0.6911559221258939,False
2000,0.5,4,dml_if,0.6113620886893668,0.0542859439334413,0.5049616385798219,0.7177625387989117,False
2000,0.5,4,dml_mult_boot,0.6113620886893668,0.054025851427964275,0.5021877176241005,0.7159170769430364,False
2000,0.5,4,dml_pairs_boot,0.6113620886893668,0.04823350252577546,0.5512465871761162,0.7142760838766172,False
2000,0.5,4,dml_cal_if,0.6221073197199616,0.052626650348010236,0.5189590850378615,0.7252555544020617,False
2000,0.5,4,dml_cal_mult_boot,0.6221073197199616,0.05186816631354858,0.516908859503877,0.7217953216716481,False
2000,0.5,4,dml_cal_pairs_boot,0.6221073197199616,0.06149601978318938,0.5119664361292916,0.7297797470561904,False
2000,0.5,5,dml_if,0.4812671745711107,0.05323547552942897,0.3769256425334299,0.5856087066087915,True
2000,0.5,5,dml_mult_boot,0.4812671745711107,0.05669586797635684,0.3626736770194667,0.5855944224629179,True
2000,0.5,5,dml_pairs_boot,0.4812671745711107,0.05613719320520863,0.3862916205513718,0.591569600094157,True
2000,0.5,5,dml_cal_if,0.49207779025622583,0.057514782156880453,0.37934881722874014,0.6048067632837115,True
2000,0.5,5,dml_cal_mult_boot,0.49207779025622583,0.060776921450563515,0.3668219812603917,0.6036526204240419,True
2000,0.5,5,dml_cal_pairs_boot,0.49207779025622583,0.06342822252352384,0.3741798346533331,0.5855035490718057,True
2000,0.5,6,dml_if,0.4864543585608858,0.05293596481919851,0.38269986751525675,0.5902088496065149,True
2000,0.5,6,dml_mult_boot,0.4864543585608858,0.05252599062028461,0.379841533255555,0.5895525193221259,True
2000,0.5,6,dml_pairs_boot,0.4864543585608858,0.07770862455687637,0.3692644439887397,0.6677011217653643,True
2000,0.5,6,dml_cal_if,0.4758463848285376,0.05628845395146158,0.3655210150836729,0.5861717545734023,True
2000,0.5,6,dml_cal_mult_boot,0.4758463848285376,0.056340761242566414,0.35819016404816845,0.5815826727147678,True
2000,0.5,6,dml_cal_pairs_boot,0.4758463848285376,0.06512042022870476,0.3596055398035966,0.5772340823275999,True
2000,0.5,7,dml_if,0.45764107316879027,0.05342752833003253,0.3529231176419265,0.562359028695654,True
2000,0.5,7,dml_mult_boot,0.45764107316879027,0.05597894219019716,0.3502674990173045,0.5729761593689238,True
2000,0.5,7,dml_pairs_boot,0.45764107316879027,0.06268723189947276,0.33137352343930626,0.5569282804624031,True
2000,0.5,7,dml_cal_if,0.44085059424269557,0.05585883077368007,0.3313672859262826,0.5503339025591085,True
2000,0.5,7,dml_cal_mult_boot,0.44085059424269557,0.057713027914318864,0.325698093088492,0.5599911869980464,True
2000,0.5,7,dml_cal_pairs_boot,0.44085059424269557,0.049880739607382256,0.35321369965103655,0.5393821485006585,True
2000,0.5,8,dml_if,0.5942589732368895,0.050642195397348655,0.49500027025808613,0.6935176762156928,True
2000,0.5,8,dml_mult_boot,0.5942589732368895,0.047373358564274416,0.5009890557628899,0.6900895788266767,False
2000,0.5,8,dml_pairs_boot,0.5942589732368895,0.04624261680125051,0.5515051290157017,0.6868591967869692,False
2000,0.5,8,dml_cal_if,0.5863719363699841,0.05441059549479529,0.4797271692001853,0.6930167035397828,True
2000,0.5,8,dml_cal_mult_boot,0.5863719363699841,0.05213804787809514,0.48079620795963063,0.6922859911060623,True
2000,0.5,8,dml_cal_pairs_boot,0.5863719363699841,0.06628080434968699,0.47470478280675016,0.6874793611715411,True
2000,0.5,9,dml_if,0.5098420727528141,0.05792932812163041,0.3963005896344185,0.6233835558712097,True
2000,0.5,9,dml_mult_boot,0.5098420727528141,0.05681180302991269,0.3990701102692752,0.6099435164684379,True
2000,0.5,9,dml_pairs_boot,0.5098420727528141,0.06270215432653027,0.43030890480177486,0.643970123443287,True
2000,0.5,9,dml_cal_if,0.5343429651593833,0.06044810540266148,0.4158646785701668,0.6528212517485998,True
2000,0.5,9,dml_cal_mult_boot,0.5343429651593833,0.05891545978314225,0.41798480136413385,0.6445549482368578,True
2000,0.5,9,dml_cal_pairs_boot,0.5343429651593833,0.06414854764790603,0.3957437416279021,0.6511924587276547,True
2000,0.5,10,dml_if,0.5354064400836058,0.05250040279964137,0.43250565059630874,0.6383072295709029,True
2000,0.5,10,dml_mult_boot,0.5354064400836058,0.05228312134076386,0.4350323677162278,0.6387883842171435,True
2000,0.5,10,dml_pairs_boot,0.5354064400836058,0.05216509397065714,0.45016903849774814,0.61139786774168,True
2000,0.5,10,dml_cal_if,0.5709394395671297,0.058623879077605044,0.4560366365750238,0.6858422425592355,True
2000,0.5,10,dml_cal_mult_boot,0.5709394395671297,0.059474638979097036,0.4515823005206755,0.6817549949854442,True
2000,0.5,10,dml_cal_pairs_boot,0.5709394395671297,0.055526358838232086,0.4148177376277988,0.6304370369857263,True
2000,0.5,11,dml_if,0.5366903339500774,0.05344395103830939,0.43194018991499095,0.6414404779851638,True
2000,0.5,11,dml_mult_boot,0.5366903339500774,0.05685635402143508,0.4344452357350401,0.6536269468195351,True
2000,0.5,11,dml_pairs_boot,0.5366903339500774,0.05760629261471709,0.4485507854941829,0.6501874600613337,True
2000,0.5,11,dml_cal_if,0.5572444766443918,0.057621969304990694,0.44430541680661007,0.6701835364821735,True
2000,0.5,11,dml_cal_mult_boot,0.5572444766443918,0.06204631953610737,0.44179556320791713,0.6825962590219736,True
2000,0.5,11,dml_cal_pairs_boot,0.5572444766443918,0.0545568881016218,0.44945549212304203,0.6392031569252231,True
2000,0.5,12,dml_if,0.4644806378900026,0.05345490295125945,0.35970902810553407,0.5692522476744711,True
2000,0.5,12,dml_mult_boot,0.4644806378900026,0.055522926141178486,0.3509203214465712,0.5688196081068382,True
2000,0.5,12,dml_pairs_boot,0.4644806378900026,0.06226174880576831,0.34374425717772505,0.5476996725475957,True
2000,0.5,12,dml_cal_if,0.44564237344331026,0.05766211820077074,0.3326246217697996,0.558660125116821,True
2000,0.5,12,dml_cal_mult_boot,0.44564237344331026,0.05893933604349105,0.3247236936756927,0.5533557020662282,True
2000,0.5,12,dml_cal_pairs_boot,0.44564237344331026,0.0597419140187718,0.3207737188763714,0.5248069667654968,True
2000,0.5,13,dml_if,0.548167794896873,0.05254160669733993,0.4451862457700867,0.6511493440236592,True
2000,0.5,13,dml_mult_boot,0.548167794896873,0.051905555850339236,0.4519060406458182,0.6564244377894605,True
2000,0.5,13,dml_pairs_boot,0.548167794896873,0.05685382548056947,0.45678394916787085,0.656581537228502,True
2000,0.5,13,dml_cal_if,0.5620669334531984,0.05610250914335346,0.45210601553222557,0.6720278513741711,True
2000,0.5,13,dml_cal_mult_boot,0.5620669334531984,0.05646209772253039,0.45673491911825403,0.677271690675921,True
2000,0.5,13,dml_cal_pairs_boot,0.5620669334531984,0.062179388306380166,0.43907815201609873,0.6406823479583427,True
2000,0.5,14,dml_if,0.5075530115547545,0.05514141883254443,0.39947583064296743,0.6156301924665416,True
2000,0.5,14,dml_mult_boot,0.5075530115547545,0.05482417841570236,0.39458250880638707,0.6100765683215877,True
2000,0.5,14,dml_pairs_boot,0.5075530115547545,0.06609152547062268,0.3503163112699163,0.6009152006833924,True
2000,0.5,14,dml_cal_if,0.5060377995922958,0.05545676922741078,0.39734253190657065,0.6147330672780209,True
2000,0.5,14,dml_cal_mult_boot,0.5060377995922958,0.056132048220487805,0.3968825413809204,0.6110034072935867,True
2000,0.5,14,dml_cal_pairs_boot,0.5060377995922958,0.048664763401884435,0.36824912943591925,0.5516806125464442,True
2000,0.5,15,dml_if,0.44756492155371463,0.06478727452594125,0.32058186348286977,0.5745479796245595,True
2000,0.5,15,dml_mult_boot,0.44756492155371463,0.06738438471709564,0.3190574129466815,0.5806691880240197,True
2000,0.5,15,dml_pairs_boot,0.44756492155371463,0.06668267733550116,0.3670074697533842,0.5996588396091874,True
2000,0.5,15,dml_cal_if,0.5024304580640883,0.0682426360746186,0.3686748913578358,0.6361860247703407,True
